depths	NGAM
6.96	17.37446024
6.97	17.23807308
6.98	18.12504126
6.99	19.48981613
7	19.6262033
7.01	21.53652682
7.02	20.99097817
7.03	22.08207548
7.04	23.51549555
7.05	23.51549555
7.06	22.55988217
7.07	24.4702057
7.08	24.4702057
7.09	23.51549555
7.1	27.33614261
7.11	26.38052923
7.12	27.83652995
7.13	29.67820829
7.14	29.81459545
7.15	27.49511043
7.16	26.53949705
7.17	26.72194876
7.18	26.24414207
7.19	27.33614261
7.2	28.42723992
7.21	27.95033646
7.22	27.26749741
7.23	27.7453041
7.24	27.7453041
7.25	27.26749741
7.26	29.17782094
7.27	25.41769004
7.28	25.73652891
7.29	25.55407721
7.3	25.34994807
7.31	25.53149655
7.32	27.91962677
7.33	29.35214361
7.34	29.17059513
7.35	30.70969267
7.36	31.93717715
7.37	30.84607984
7.38	30.17678918
7.39	32.00040299
7.4	31.33201556
7.41	30.94995086
7.42	30.85420887
7.43	30.03588589
7.44	29.77033737
7.45	30.13433755
7.46	28.86078853
7.47	28.80027237
7.48	28.4814335
7.49	26.41214215
7.5	25.76091602
7.51	25.09343182
7.52	23.21381798
7.53	23.21381798
7.54	23.39536646
7.55	23.10904374
7.56	22.71884999
7.57	23.2282696
7.58	23.33665675
7.59	24.86491557
7.6	26.3209163
7.61	25.84310961
7.62	25.63807725
7.63	26.48710993
7.64	26.00207743
7.65	26.95769081
7.66	26.95769081
7.67	26.31278726
7.68	26.43381958
7.69	26.7752391
7.7	26.7752391
7.71	26.93420693
7.72	27.54840078
7.73	26.00930324
7.74	27.7073686
7.75	27.16181994
7.76	26.68401325
7.77	24.56143155
7.78	24.08362486
7.79	26.47175508
7.8	25.6227224
7.81	26.16827106
7.82	26.44104539
7.83	25.16749637
7.84	25.03110921
7.85	27.35059423
7.86	27.19162641
7.87	26.23691626
7.88	26.98749727
7.89	26.44104539
7.9	26.0698194
7.91	23.9472377
7.92	24.28865722
7.93	23.9472377
7.94	23.52272136
7.95	23.52272136
7.96	22.09020452
7.97	22.99975336
7.98	22.72697903
7.99	21.49859132
8	22.93110816
8.01	22.93110816
8.02	21.15807503
8.03	22.06762386
8.04	22.70439837
8.05	23.06839855
8.06	24.8143349
8.07	27.68027181
8.08	29.21846612
8.09	28.33240117
8.1	28.33240117
8.11	28.33240117
8.12	30.71962816
8.13	32.15304823
8.14	31.87937067
8.15	32.15304823
8.16	33.74453289
8.17	32.31201605
8.18	33.74453289
8.19	34.83653343
8.2	33.19898423
8.21	31.60659634
8.22	31.92543521
8.23	30.906596
8.24	31.38349946
8.25	30.42878931
8.26	32.17562888
8.27	32.35717736
8.28	33.99472656
8.29	33.03911318
8.3	30.1740795
8.31	30.65188619
8.32	29.74233735
8.33	27.74078797
8.34	29.6511115
8.35	28.90053048
8.36	28.14994946
8.37	29.13265963
8.38	30.08736978
8.39	27.85911061
8.4	27.85911061
8.41	25.67601275
8.42	25.67601275
8.43	26.11227103
8.44	26.96130371
8.45	26.41575506
8.46	27.23407804
8.47	28.46246575
8.48	27.98465906
8.49	27.13562638
8.5	27.54478787
8.51	26.59007772
8.52	28.13640107
8.53	28.61420776
8.54	28.04065909
8.55	26.76711007
8.56	28.6774336
8.57	28.49588512
8.58	28.76865945
8.59	29.24646614
8.6	26.8989811
8.61	26.95949726
8.62	27.14194896
8.63	24.41239922
8.64	24.41239922
8.65	23.93549576
8.66	24.60207673
8.67	24.12427005
8.68	24.26156044
8.69	23.26078575
8.7	21.82736568
8.71	22.78297906
8.72	24.05652808
8.73	22.60143058
8.74	23.03768886
8.75	23.03768886
8.76	22.65562416
8.77	23.70607629
8.78	23.05123726
8.79	22.32323689
8.8	24.23356042
8.81	23.96078609
8.82	24.65085095
8.83	25.08710923
8.84	26.24685174
8.85	27.33885229
8.86	25.70130309
8.87	27.13381993
8.88	25.70130309
8.89	25.97407742
8.9	25.51975461
8.91	24.94620594
8.92	23.5136891
8.93	23.07743082
8.94	21.64401075
8.95	21.20775247
8.96	22.29884978
8.97	22.02607546
8.98	22.29884978
8.99	20.72271997
9	20.83201035
9.01	20.46801017
9.02	20.19523584
9.03	21.28633315
9.04	21.01355882
9.05	21.49136551
9.06	20.26297781
9.07	21.2637525
9.08	21.40013966
9.09	21.34684931
9.1	20.255752
9.11	21.8933012
9.12	21.8933012
9.13	21.34684931
9.14	22.43884985
9.15	21.68826884
9.16	23.52994717
9.17	22.98439851
9.18	22.25639815
9.19	22.25639815
9.2	22.05226902
9.21	24.23536687
9.22	24.37175404
9.23	25.60014175
9.24	25.49085137
9.25	26.58194869
9.26	29.43253075
9.27	31.6156286
9.28	31.88840293
9.29	34.07240402
9.3	36.25550188
9.31	36.80105054
9.32	37.0060829
9.33	38.43859973
9.34	39.52969705
9.35	42.32698876
9.36	43.76040883
9.37	44.23731229
9.38	43.38827961
9.39	45.5722807
9.4	46.11782936
9.41	46.49989406
9.42	48.68299192
9.43	46.84131359
9.44	46.56763603
9.45	45.20376439
9.46	44.11176384
9.47	42.27008551
9.48	41.86002079
9.49	42.34595651
9.5	40.70840732
9.51	40.43563299
9.52	38.72943859
9.53	37.77472844
9.54	39.20724528
9.55	37.66814774
9.56	37.78918006
9.57	37.2436314
9.58	40.24595547
9.59	36.97085707
9.6	36.49305038
9.61	35.53834023
9.62	36.68995371
9.63	36.14440505
9.64	34.71188821
9.65	33.75627483
9.66	33.0671132
9.67	31.97511266
9.68	31.76285448
9.69	32.30840314
9.7	32.10427401
9.71	31.49008016
9.72	31.14866063
9.73	28.2303366
9.74	27.13833606
9.75	24.6147219
9.76	25.91085158
9.77	27.82117511
9.78	27.82117511
9.79	28.24569145
9.8	29.33678876
9.81	31.24711229
9.82	30.61033778
9.83	30.13343432
9.84	30.95175731
9.85	30.20930533
9.86	28.98091762
9.87	29.66285344
9.88	28.57175613
9.89	28.02530424
9.9	29.45872431
9.91	32.73291948
9.92	34.16633955
9.93	33.21072617
9.94	31.77820933
9.95	33.00659704
9.96	32.15756436
9.97	31.33833815
9.98	32.29395152
9.99	33.74904902
10	35.76595325
10.01	37.67627678
10.02	38.15318024
10.03	42.11021446
10.04	42.52027918
10.05	41.36053667
10.06	44.08918319
10.07	45.45395806
10.08	42.0424725
10.09	39.65434228
10.1	42.52027918
10.11	42.17885966
10.12	40.47356849
10.13	40.15472962
10.14	38.24440609
10.15	38.72221278
10.16	36.47046973
10.17	35.13640455
10.18	33.70388771
10.19	33.22608102
10.2	28.79124011
10.21	27.42646524
10.22	27.49511043
10.23	27.49511043
10.24	28.51846578
10.25	29.95098262
10.26	29.61046632
10.27	27.2223361
10.28	27.08594894
10.29	29.33678876
10.3	29.81459545
10.31	31.72491898
10.32	28.8598853
10.33	30.56517647
10.34	31.31575749
10.35	31.47472531
10.36	31.06556382
10.37	32.97588734
10.38	32.49808066
10.39	34.34066222
10.4	32.15756436
10.41	28.95020793
10.42	29.42801462
10.43	29.29162745
10.44	30.3529183
10.45	30.3529183
10.46	29.26091776
10.47	29.26091776
10.48	29.73872445
10.49	30.89846696
10.5	31.9904675
10.51	32.94517765
10.52	32.03562881
10.53	32.44479031
