DEPTH	NGAM
13.65	28.1
13.66	27.03
13.67	25.95
13.68	24.88
13.69	23.81
13.7	23.6
13.71	23.45
13.72	23.31
13.73	23.17
13.74	23.02
13.75	22.88
13.76	22.74
13.77	22.59
13.78	22.45
13.79	22.52
13.8	22.59
13.81	22.45
13.82	22.31
13.83	22.17
13.84	22.02
13.85	21.88
13.86	21.74
13.87	21.59
13.88	21.38
13.89	21.16
13.9	20.66
13.91	20.16
13.92	19.66
13.93	19.16
13.94	18.66
13.95	18.16
13.96	17.66
13.97	17.16
13.98	16.87
13.99	16.59
14	16.3
14.01	16.02
14.02	15.73
14.03	15.44
14.04	15.16
14.05	14.87
14.06	14.59
14.07	14.59
14.08	14.94
14.09	15.3
14.1	15.66
14.11	16.02
14.12	16.37
14.13	16.73
14.14	17.09
14.15	17.45
14.16	17.8
14.17	18.16
14.18	18.52
14.19	18.88
14.2	19.23
14.21	19.59
14.22	19.95
14.23	20.31
14.24	20.66
14.25	20.66
14.26	20.66
14.27	20.45
14.28	20.23
14.29	20.02
14.3	19.81
14.31	19.59
14.32	19.38
14.33	19.16
14.34	18.95
14.35	18.73
14.36	19.16
14.37	19.59
14.38	20.02
14.39	20.45
14.4	20.88
14.41	21.31
14.42	21.74
14.43	22.17
14.44	22.81
14.45	23.02
14.46	23.24
14.47	23.45
14.48	23.67
14.49	23.88
14.5	24.1
14.51	24.31
14.52	24.52
14.53	24.1
14.54	23.67
14.55	23.24
14.56	22.81
14.57	22.38
14.58	21.95
14.59	21.52
14.6	21.09
14.61	20.66
14.62	20.66
14.63	20.45
14.64	20.23
14.65	20.02
14.66	19.81
14.67	19.59
14.68	19.38
14.69	19.16
14.7	18.95
14.71	18.73
14.72	18.38
14.73	18.02
14.74	17.66
14.75	17.3
14.76	16.95
14.77	16.59
14.78	16.23
14.79	15.87
14.8	15.73
14.81	15.73
14.82	15.73
14.83	15.73
14.84	15.73
14.85	15.73
14.86	15.73
14.87	15.73
14.88	15.73
14.89	15.87
14.9	16.3
14.91	16.73
14.92	17.16
14.93	17.59
14.94	18.02
14.95	18.45
14.96	18.88
14.97	19.31
14.98	19.59
14.99	19.09
15	18.59
15.01	18.09
15.02	17.59
15.03	17.09
15.04	16.59
15.05	16.09
15.06	15.59
15.07	14.8
15.08	14.01
15.09	14.01
15.1	14.01
15.11	14.01
15.12	14.01
15.13	14.01
15.14	14.01
15.15	14.01
15.16	14.8
15.17	15.59
15.18	15.59
15.19	15.59
15.2	15.59
15.21	15.59
15.22	15.59
15.23	15.59
15.24	15.59
15.25	15.59
15.26	14.8
15.27	14.51
15.28	14.23
15.29	13.94
15.3	13.66
15.31	13.37
15.32	13.08
15.33	12.8
15.34	12.51
15.35	13.01
15.36	13.23
15.37	13.44
15.38	13.66
15.39	13.87
15.4	14.09
15.41	14.3
15.42	14.51
15.43	14.73
15.44	14.44
15.45	13.73
15.46	13.01
15.47	12.3
15.48	11.58
15.49	10.87
15.5	10.15
15.51	9.44
15.52	8.72
15.53	8.29
15.54	8.58
15.55	8.87
15.56	9.15
15.57	9.44
15.58	9.72
15.59	10.01
15.6	10.3
15.61	10.58
15.62	11.3
15.63	11.37
15.64	11.44
15.65	11.51
15.66	11.58
15.67	11.65
15.68	11.73
15.69	11.8
15.7	11.87
15.71	11.23
15.72	10.58
15.73	10.73
15.74	10.87
15.75	11.01
15.76	11.15
15.77	11.3
15.78	11.44
15.79	11.58
15.8	12.37
15.81	13.16
15.82	13.66
15.83	14.16
15.84	14.66
15.85	15.16
15.86	15.66
15.87	16.16
15.88	16.66
15.89	17.16
15.9	16.87
15.91	16.59
15.92	16.3
15.93	16.02
15.94	15.73
15.95	15.44
15.96	15.16
15.97	14.87
15.98	14.59
15.99	14.59
16	15.16
16.01	15.73
16.02	16.3
16.03	16.87
16.04	17.45
16.05	18.02
16.06	18.59
16.07	19.16
16.08	19.73
16.09	20.31
16.1	20.66
16.11	21.02
16.12	21.38
16.13	21.74
16.14	22.09
16.15	22.45
16.16	22.81
16.17	22.59
16.18	22.38
16.19	22.17
16.2	22.17
16.21	22.17
16.22	22.17
16.23	22.17
16.24	22.17
16.25	22.17
16.26	22.17
16.27	22.38
16.28	22.59
16.29	22.52
16.3	22.45
16.31	22.38
16.32	22.31
16.33	22.24
16.34	22.17
16.35	22.09
16.36	22.02
16.37	21.74
16.38	21.52
16.39	21.31
16.4	21.09
16.41	20.88
16.42	20.66
16.43	20.45
16.44	20.23
16.45	20.02
16.46	20.09
16.47	20.16
16.48	19.59
16.49	19.02
16.5	18.45
16.51	17.88
16.52	17.3
16.53	16.73
16.54	16.16
16.55	15.52
16.56	14.87
16.57	14.51
16.58	14.16
16.59	13.8
16.6	13.44
16.61	13.08
16.62	12.73
16.63	12.37
16.64	12.01
16.65	12.3
16.66	12.58
16.67	12.87
16.68	13.16
16.69	13.44
16.7	13.73
16.71	14.01
16.72	14.3
16.73	14.59
16.74	14.59
16.75	14.3
16.76	14.01
16.77	13.73
16.78	13.44
16.79	13.16
16.8	12.87
16.81	12.58
16.82	12.3
16.83	12.01
16.84	11.51
16.85	11.01
16.86	10.51
16.87	10.01
16.88	9.51
16.89	9.01
16.9	8.51
16.91	8.01
16.92	7.79
16.93	7.79
16.94	7.79
16.95	7.79
16.96	7.79
16.97	7.79
16.98	7.79
16.99	7.79
17	7.79
17.01	8.01
17.02	8.37
17.03	8.72
17.04	9.08
17.05	9.44
17.06	9.8
17.07	10.15
17.08	10.51
17.09	10.87
17.1	11.01
17.11	10.65
17.12	10.3
17.13	9.94
17.14	9.58
17.15	9.22
17.16	8.87
17.17	8.51
17.18	8.15
17.19	7.65
17.2	7.22
17.21	6.79
17.22	6.36
17.23	5.93
17.24	5.51
17.25	5.08
17.26	4.65
17.27	4.22
17.28	4.29
17.29	4.58
17.3	4.86
17.31	5.15
17.32	5.43
17.33	5.72
17.34	6.01
17.35	6.29
17.36	6.58
17.37	6.79
17.38	7.08
17.39	7.36
17.4	7.65
17.41	7.94
17.42	8.22
17.43	8.51
17.44	8.79
17.45	9.08
17.46	9.15
17.47	9.22
17.48	10.15
17.49	11.08
17.5	12.01
17.51	12.94
17.52	13.87
17.53	14.8
17.54	15.73
17.55	16.59
17.56	17.45
17.57	17.66
17.58	17.88
17.59	18.09
17.6	18.3
17.61	18.52
17.62	18.73
17.63	18.95
17.64	19.16
17.65	18.52
17.66	18.45
17.67	18.38
17.68	18.3
17.69	18.23
17.7	18.16
17.71	18.09
17.72	18.02
17.73	17.95
17.74	18.52
17.75	18.38
17.76	18.23
17.77	18.09
17.78	17.95
17.79	17.8
17.8	17.66
17.81	17.52
17.82	17.37
17.83	16.66
17.84	15.94
17.85	15.3
17.86	14.66
17.87	14.01
17.88	13.37
17.89	12.73
17.9	12.08
17.91	11.44
17.92	11.51
17.93	11.58
17.94	11.58
17.95	11.58
17.96	11.58
17.97	11.58
17.98	11.58
17.99	11.58
18	11.58
18.01	11.58
18.02	11.51
18.03	11.44
18.04	11.44
18.05	11.44
18.06	11.44
18.07	11.44
18.08	11.44
18.09	11.44
18.1	11.44
18.11	11.51
18.12	11.58
18.13	11.65
18.14	11.51
18.15	11.37
18.16	11.23
18.17	11.08
18.18	10.94
18.19	10.8
18.2	10.65
18.21	10.44
18.22	10.22
18.23	10.01
18.24	10.01
18.25	10.01
18.26	10.01
18.27	10.01
18.28	10.01
18.29	10.01
18.3	10.01
18.31	10.22
18.32	10.44
18.33	10.73
18.34	11.01
18.35	11.3
18.36	11.58
18.37	11.87
18.38	12.16
18.39	12.44
18.4	12.73
18.41	12.8
18.42	13.37
18.43	13.94
18.44	14.51
18.45	15.09
18.46	15.66
18.47	16.23
18.48	16.8
18.49	17.37
18.5	17.88
18.51	18.3
18.52	18.73
18.53	19.16
18.54	19.59
18.55	20.02
18.56	20.45
18.57	20.88
18.58	21.31
18.59	21.24
18.6	21.16
18.61	20.45
18.62	19.73
18.63	19.02
18.64	18.3
18.65	17.59
18.66	16.87
