Depth	Gamma								
42.1	83.8								
42.2	86.8								
42.2	87.6								
42.2	89.9								
42.3	90.6								
42.4	92.2								
42.4	95.2								
42.5	98.2								
42.6	99								
42.6	99								
42.6	100.5								
42.7	102								
43	102.8								
43.2	104.3								
43.2	106.6								
43.3	110.4								
43.3	110.4								
43.4	111.1								
43.4	111.9								
43.4	114.9								
43.4	115.7								
43.7	116.4								
43.8	114.1								
43.9	114.1								
44	114.1								
44.2	118.7								
44.4	123.2								
44.5	126.3								
44.6	129.3								
44.7	131.6								
44.8	133.9								
44.8	136.1								
44.9	136.9								
45	136.1								
45	133.1								
45.2	129.3								
45.3	126.3								
45.3	124								
45.3	121.7								
45.4	121.7								
45.5	121.7								
45.5	126.3								
45.5	126.3								
45.7	130.1								
45.7	130.1								
45.8	131.6								
45.8	132.3								
45.9	133.9								
45.9	133.9								
45.9	136.1								
46	136.9								
46	136.9								
46.1	136.9								
46.2	136.9								
46.2	136.9								
46.2	135.4								
46.2	132.3								
46.3	132.3								
46.3	130.8								
46.3	130.1								
46.5	129.3								
46.5	129.3								
46.6	128.6								
46.6	128.6								
46.8	129.3								
46.9	130.1								
46.9	130.8								
47	133.1								
47	133.9								
47.1	135.4								
47.1	136.1								
47.2	136.1								
47.3	136.1								
47.3	136.1								
47.4	134.6								
47.5	133.1								
47.5	131.6								
47.6	129.3								
47.8	127								
47.9	124.8								
47.9	124.8								
48	123.2								
48	123.2								
48.1	125.5								
48.2	126.3								
48.3	130.1								
48.4	131.6								
48.4	132.3								
48.5	133.9								
48.6	136.1								
48.6	136.1								
48.8	136.1								
48.9	136.9								
49	139.2								
49	139.2								
49.1	138.4								
49.1	136.9								
49.2	134.6								
49.3	130.8								
49.4	128.6								
49.5	127.8								
49.5	127.8								
49.6	130.8								
49.6	130.8								
49.7	133.1								
49.9	132.3								
49.9	132.3								
50	128.6								
50.1	127								
50.1	124.8								
50.1	124								
50.2	121.7								
50.3	121								
50.4	121								
50.5	121.7								
50.6	124								
50.7	123.2								
50.8	124.8								
50.8	125.5								
51	127.8								
51	130.8								
51	131.6								
51	131.6								
51.1	130.8								
51.3	129.3								
51.5	130.8								
51.6	133.1								
51.7	133.9								
51.8	133.9								
51.8	133.9								
52	132.3								
52.1	131.6								
52.2	130.8								
52.4	130.8								
52.5	129.3								
52.5	127.8								
52.6	127.8								
52.6	127								
52.7	125.5								
52.7	124								
52.7	122.5								
52.8	121.7								
53	120.2								
53.1	120.2								
53.2	124								
53.2	124								
53.2	127								
53.3	127.8								
53.4	128.6								
53.5	128.6								
53.5	127.8								
53.5	124.8								
53.5	124								
53.6	121.7								
53.8	121.7								
53.9	124								
53.9	124								
54	125.5								
54.1	127								
54.2	127								
54.3	127								
54.4	129.3								
54.5	130.1								
54.6	130.1								
54.7	130.1								
54.8	128.6								
54.8	127								
54.8	125.5								
55	122.5								
55	121.7								
55	121.7								
55.1	120.2								
55.1	119.5								
55.2	118.7								
55.2	117.2								
55.3	116.4								
55.4	115.7								
55.5	112.6								
55.6	112.6								
55.7	115.7								
55.8	118.7								
55.9	121.7								
55.9	122.5								
56.1	124								
56.1	125.5								
56.2	126.3								
56.2	127.8								
56.3	127.8								
56.5	127.8								
56.6	127								
56.8	127.8								
57	129.3								
57	129.3								
57.1	129.3								
57.2	128.6								
57.3	127.8								
57.4	129.3								
57.5	130.1								
57.6	130.1								
57.7	130.8								
57.9	129.3								
58.1	127.8								
58.1	126.3								
58.3	124								
58.4	123.2								
58.5	122.5								
58.6	121.7								
58.8	121.7								
59.4	121.7								
59.3	124								
59.2	124								
59.2	124								
59.3	122.5								
59.3	121.7								
59.4	119.5								
59.4	117.2								
59.5	115.7								
59.6	112.6								
59.6	111.1								
59.7	109.6								
59.7	107.3								
59.7	105.8								
59.9	105.8								
60	110.4								
60	111.1								
60	114.1								
60.1	115.7								
60.1	119.5								
60.1	121								
60.1	123.2								
60.1	124.8								
60.2	127								
60.2	128.6								
60.3	129.3								
60.4	130.1								
60.4	130.1								
60.7	125.5								
60.7	124.8								
60.7	122.5								
60.7	119.5								
60.7	118.7								
60.8	117.2								
60.9	114.1								
61	114.1								
61.1	115.7								
61.3	118.7								
61.4	121.7								
61.5	122.5								
61.6	122.5								
61.6	122.5								
61.8	124								
62.1	125.5								
62.2	127								
62.3	129.3								
62.5	133.1								
62.5	136.1								
62.6	136.9								
62.6	137.7								
62.7	139.2								
62.7	139.9								
62.7	139.9								
62.8	137.7								
62.8	136.1								
62.9	136.1								
62.9	137.7								
63	137.7								
63.1	134.6								
63.1	133.9								
63.2	133.1								
63.2	133.9								
63.4	135.4								
63.5	136.1								
63.5	136.9								
63.6	136.9								
63.6	136.1								
63.8	135.4								
63.9	135.4								
