Depth	Gamma								
357.5	145.2								
357.5	149								
357.5	155.1								
357.4	160.4								
357.4	161.9								
357.5	165								
357.6	165.7								
357.7	168.7								
357.7	169.5								
357.7	171								
357.7	172.5								
357.8	176.3								
357.8	177.1								
357.9	177.1								
358.1	175.6								
358.3	178.6								
358.3	182.4								
358.4	184.7								
358.4	186.2								
358.4	186.9								
358.5	186.9								
358.6	183.2								
358.6	177.8								
358.6	177.1								
358.7	174.1								
358.8	170.3								
359	168								
359.1	168								
359.2	171								
359.4	174.8								
359.4	175.6								
359.6	177.8								
359.7	177.1								
359.9	173.3								
359.9	173.3								
360.1	171.8								
360.1	169.5								
360.3	169.5								
360.4	169.5								
360.5	169.5								
360.6	166.5								
360.7	164.2								
360.8	165.7								
360.9	168.7								
361.2	169.5								
361.4	167.2								
361.6	164.2								
361.6	161.2								
361.6	161.2								
361.6	158.1								
361.6	155.1								
361.8	152.1								
361.9	150.5								
362	150.5								
362.2	152.1								
362.3	156.6								
362.3	158.1								
362.4	159.6								
362.5	165								
362.7	162.7								
362.9	161.2								
363.1	160.4								
363.1	166.5								
363.1	173.3								
363.2	177.8								
363.2	178.6								
363.3	179.4								
363.5	180.9								
363.5	173.3								
363.6	171.8								
363.7	171								
363.8	168								
363.8	167.2								
363.9	165.7								
364.1	165								
364.3	164.2								
364.6	163.4								
364.8	161.9								
365	160.4								
365.2	161.9								
365.4	165								
365.5	165								
365.6	161.9								
365.6	158.1								
365.6	155.1								
365.7	155.1								
365.8	152.1								
365.8	149.8								
365.8	146.8								
365.8	145.2								
365.8	143.7								
365.9	146								
366	149								
366	153.6								
366.1	154.3								
366.2	158.9								
366.3	159.6								
366.4	160.4								
366.5	159.6								
366.5	155.9								
366.6	155.1								
366.8	159.6								
366.9	161.2								
367	161.9								
367.1	162.7								
367.2	162.7								
367.3	160.4								
367.4	160.4								
367.5	158.1								
367.8	158.9								
367.9	158.9								
368.3	160.4								
368.4	160.4								
368.5	160.4								
368.5	160.4								
368.6	162.7								
368.6	164.2								
368.8	167.2								
368.9	169.5								
368.9	170.3								
368.9	174.8								
369	178.6								
369.2	182.4								
369.3	180.1								
369.3	178.6								
369.3	176.3								
369.4	171.8								
369.3	169.5								
369.3	165								
369.4	161.9								
369.4	161.9								
369.4	161.2								
369.4	161.2								
369.6	158.9								
369.7	161.9								
369.7	164.2								
369.7	165								
369.7	165								
369.8	165								
369.9	166.5								
369.9	166.5								
370	163.4								
370	161.9								
370.1	164.2								
370.1	167.2								
370.2	168.7								
370.2	169.5								
370.4	170.3								
370.4	170.3								
370.4	168.7								
370.4	166.5								
370.4	167.2								
370.5	166.5								
370.6	161.2								
370.7	158.9								
370.8	157.4								
371	155.1								
371.2	154.3								
371.4	153.6								
371.5	153.6								
371.6	157.4								
371.7	163.4								
371.9	166.5								
372.1	168								
372.2	168								
372.2	171								
372.3	172.5								
372.4	174.8								
372.5	178.6								
372.6	180.9								
372.6	180.9								
372.7	182.4								
372.8	186.2								
372.8	186.2								
373	190.7								
373.1	190.7								
373.1	190.7								
373.3	184.7								
373.4	181.6								
373.4	176.3								
373.6	173.3								
373.7	171								
373.7	171								
373.8	169.5								
373.9	169.5								
374.1	171.8								
374.2	171.8								
374.3	171								
374.3	168								
374.4	168.7								
374.6	172.5								
374.7	177.1								
374.9	177.1								
375	174.1								
375	174.1								
374.9	170.3								
374.9	169.5								
375	166.5								
375.2	165								
375.5	165								
375.6	162.7								
375.8	161.9								
375.8	161.9								
375.9	164.2								
375.9	165.7								
376	168.7								
376	168.7								
376.1	171.8								
376.2	175.6								
376.3	178.6								
376.3	181.6								
376.4	183.2								
376.4	183.2								
376.5	181.6								
376.6	176.3								
376.6	173.3								
376.6	171.8								
376.8	172.5								
376.9	173.3								
376.9	172.5								
377	171								
377	168.7								
377.1	167.2								
377.1	165.7								
377.1	163.4								
377.2	161.2								
377.4	161.2								
377.5	164.2								
377.5	165.7								
377.5	168								
377.6	169.5								
377.7	172.5								
377.8	172.5								
377.9	169.5								
377.9	167.2								
378.1	165								
378.2	165.7								
378.3	168.7								
378.4	170.3								
378.5	171								
378.6	170.3								
378.6	168.7								
378.8	166.5								
378.9	163.4								
379	162.7								
379.1	161.2								
379.1	165								
379.2	170.3								
379.3	173.3								
379.3	173.3								
379.3	177.1								
379.4	180.9								
379.6	177.8								
379.6	176.3								
379.6	175.6								
379.7	177.1								
379.9	178.6								
380.1	177.1								
380.1	173.3								
380.1	173.3								
380.2	173.3								
380.3	174.1								
380.4	177.1								
380.4	179.4								
380.5	177.8								
380.6	175.6								
380.6	175.6								
380.6	175.6								
380.8	175.6								
380.8	174.8								
381	173.3								
381	173.3								
381	171.8								
381	170.3								
381.1	167.2								
381.1	166.5								
381.1	165								
381.2	162.7								
381.3	160.4								
381.4	160.4								
381.5	161.9								
381.5	163.4								
381.6	165								
381.8	166.5								
381.8	166.5								
382	165.7								
382.3	165.7								
382.4	165.7								
382.4	168								
382.4	172.5								
382.5	177.1								
382.5	180.1								
382.6	182.4								
382.6	183.2								
382.7	183.9								
382.7	183.9								
382.8	181.6								
382.9	179.4								
382.9	177.1								
383	173.3								
383	173.3								
383	172.5								
383.1	171.8								
383.3	171								
383.3	169.5								
383.5	168								
383.7	165.7								
383.8	164.2								
383.8	162.7								
383.9	161.2								
383.9	160.4								
384	165								
384	168								
384	168.7								
384.2	172.5								
384.2	172.5								
384.3	174.8								
384.4	175.6								
384.5	175.6								
384.5	174.1								
384.6	171.8								
384.5	168								
384.5	167.2								
384.7	162.7								
384.7	161.2								
384.7	159.6								
384.7	158.9								
384.7	158.1								
384.7	157.4								
384.8	155.9								
384.8	153.6								
384.9	151.3								
385	149.8								
385.1	147.5								
385.1	152.1								
385.1	154.3								
385.1	155.1								
385.1	155.1								
385.2	159.6								
385.3	161.2								
385.3	162.7								
385.4	165								
385.5	168								
385.6	171.8								
385.6	172.5								
385.6	174.1								
385.7	174.1								
385.7	174.1								
385.8	174.1								
385.8	174.1								
386	174.1								
386	174.1								
386.1	172.5								
386.2	171								
386.3	171								
386.4	168								
386.5	165.7								
386.5	165								
386.6	163.4								
386.7	161.9								
386.9	161.2								
387	163.4								
387.1	168								
387.2	171								
387.4	173.3								
387.4	174.8								
387.5	174.8								
387.6	173.3								
387.9	173.3								
388.1	172.5								
388.4	171.8								
388.6	171.8								
388.7	173.3								
388.7	175.6								
388.9	180.1								
389.1	183.2								
389.2	186.2								
389.4	187.7								
389.5	186.9								
389.5	183.2								
389.5	182.4								
389.5	181.6								
389.5	180.1								
389.6	177.8								
389.6	177.1								
389.6	173.3								
389.6	171								
389.7	170.3								
389.7	168								
389.8	166.5								
389.9	167.2								
390	168.7								
390.2	168.7								
390.2	168.7								
390.5	167.2								
390.6	165								
390.6	164.2								
390.6	164.2								
390.8	165.7								
390.8	170.3								
391	171								
391.1	170.3								
391.1	168.7								
391.2	166.5								
391.3	165.7								
391.4	162.7								
391.4	162.7								
391.4	161.9								
391.5	161.9								
391.6	161.2								
391.7	161.2								
391.8	168								
391.9	171.8								
391.9	172.5								
391.9	172.5								
392	174.1								
392.2	177.1								
392.2	176.3								
392.3	172.5								
392.3	169.5								
392.3	168.7								
392.3	168								
392.4	165.7								
392.6	162.7								
392.6	161.9								
392.8	165.7								
392.9	170.3								
392.9	171.8								
393	173.3								
393.1	173.3								
393.1	173.3								
393.1	173.3								
393.1	173.3								
393.2	173.3								
393.3	170.3								
393.3	168								
393.5	165.7								
393.6	168.7								
393.7	173.3								
393.8	177.8								
394	180.9								
394.1	180.9								
394.1	180.1								
394.1	175.6								
394.1	174.1								
394.1	171								
394.2	169.5								
394.3	168.7								
394.4	168.7								
394.5	170.3								
394.6	171								
394.6	169.5								
394.6	168								
394.6	166.5								
394.6	165.7								
394.6	165.7								
394.7	166.5								
394.7	165.7								
394.9	165								
394.9	162.7								
395	161.2								
395	161.2								
395	159.6								
395	158.9								
395.1	158.9								
395.2	157.4								
395.2	157.4								
395.2	157.4								
395.3	156.6								
395.3	158.1								
395.4	161.9								
395.4	164.2								
395.4	167.2								
395.4	170.3								
395.4	170.3								
395.4	174.8								
395.4	179.4								
395.5	183.2								
395.6	185.4								
395.7	189.2								
395.6	193								
395.6	194.5								
395.6	196								
395.6	196.8								
395.7	196								
395.8	194.5								
395.9	192.3								
396	190.7								
396.1	190.7								
396.1	192.3								
396.4	190.7								
396.4	187.7								
396.4	185.4								
396.5	183.2								
396.6	180.9								
396.6	179.4								
396.7	177.8								
396.9	177.1								
397	174.8								
397	172.5								
397.1	171								
397.1	171								
397.2	171								
397.2	170.3								
397.3	170.3								
397.5	173.3								
397.7	177.8								
397.7	179.4								
397.8	182.4								
397.9	183.9								
398	185.4								
398.1	187.7								
398.3	187.7								
398.4	187.7								
398.5	190								
398.6	193								
398.7	196								
398.9	199.1								
399	201.4								
398.9	199.8								
399	194.5								
399.1	192.3								
399.2	189.2								
399.2	184.7								
399.3	183.9								
399.3	180.9								
399.4	180.1								
399.4	178.6								
399.5	172.5								
399.6	167.2								
399.5	165.7								
399.5	163.4								
399.5	159.6								
399.5	159.6								
399.5	155.1								
399.6	152.1								
399.6	151.3								
399.6	150.5								
399.7	147.5								
399.7	146								
399.7	144.5								
399.8	142.2								
399.8	137.7								
399.8	136.1								
399.8	136.1								
399.8	133.1								
399.8	132.3								
400	134.6								
400.1	137.7								
400.1	139.2								
400.1	143								
400.3	149								
400.3	151.3								
400.3	152.8								
400.3	155.1								
400.2	157.4								
400.2	162.7								
400.2	165								
400.2	168								
400.2	168.7								
400.3	171								
400.3	173.3								
400.4	174.8								
400.4	176.3								
400.4	177.1								
400.4	177.8								
400.4	177.8								
400.5	178.6								
400.7	175.6								
400.7	174.1								
400.8	173.3								
400.9	173.3								
401.1	171.8								
401.2	169.5								
401.2	168.7								
401.3	167.2								
401.6	167.2								
401.7	167.2								
401.9	168								
402	168.7								
402	169.5								
402.1	170.3								
402.1	169.5								
402.2	165.7								
402.2	161.9								
402.3	157.4								
402.6	146.8								
402.6	146								
402.5	143.7								
402.5	141.4								
402.5	138.4								
402.6	134.6								
402.7	132.3								
402.7	128.6								
402.7	125.5								
402.7	122.5								
402.7	117.9								
402.7	115.7								
402.8	113.4								
403	110.4								
403	113.4								
403	117.9								
403	118.7								
403.1	123.2								
403.2	127.8								
403.3	130.8								
403.3	132.3								
403.4	134.6								
403.4	135.4								
403.6	133.1								
403.7	129.3								
403.7	126.3								
403.7	123.2								
403.7	120.2								
403.7	117.9								
403.7	115.7								
403.8	112.6								
403.8	108.8								
403.8	107.3								
403.9	105.8								
404	102								
404	102								
404.1	101.3								
404.2	105								
404.2	108.1								
404.4	110.4								
404.5	111.9								
404.6	113.4								
404.7	113.4								
405	111.1								
405.2	110.4								
405.3	114.1								
405.4	117.9								
405.4	121								
405.4	122.5								
405.4	123.2								
405.6	124								
405.7	122.5								
405.8	123.2								
405.9	124								
406.1	126.3								
406.1	128.6								
406.2	130.1								
406.3	130.8								
406.5	128.6								
406.7	127.8								
406.8	130.1								
406.8	130.8								
407	131.6								
407.1	127.8								
407.1	124.8								
407.2	121.7								
407.2	118.7								
407.4	116.4								
407.5	114.9								
407.6	112.6								
407.6	111.1								
407.6	108.8								
407.7	106.6								
407.8	105.8								
407.9	105.8								
408.1	107.3								
408.1	108.1								
408.1	108.1								
408.2	108.1								
408.3	107.3								
408.4	105								
408.4	103.5								
408.5	102.8								
408.8	102								
408.8	102								
408.9	104.3								
409	107.3								
409	113.4								
409.1	115.7								
409.2	118.7								
409.4	119.5								
409.4	119.5								
409.4	115.7								
409.5	112.6								
409.7	111.1								
409.9	110.4								
410	111.9								
410.1	116.4								
410.2	117.9								
410.3	115.7								
410.4	113.4								
410.4	111.9								
410.6	109.6								
410.6	107.3								
410.7	107.3								
410.8	104.3								
411	106.6								
411.2	111.1								
411.4	117.2								
411.4	118.7								
411.4	120.2								
411.4	123.2								
411.6	126.3								
411.6	127								
411.7	124.8								
411.7	121								
411.8	120.2								
411.9	124.8								
411.9	129.3								
412	130.8								
412	133.9								
412	133.9								
412	135.4								
412	136.1								
412	138.4								
412.1	139.2								
412.1	139.9								
412.1	141.4								
412.2	143								
412.2	145.2								
412.3	146.8								
412.3	147.5								
412.2	149								
412.4	151.3								
412.4	152.8								
412.5	152.8								
412.6	149.8								
412.6	148.3								
412.7	144.5								
412.8	141.4								
412.8	141.4								
412.9	138.4								
412.9	136.9								
413	133.9								
413	133.1								
413.1	131.6								
413.1	129.3								
413.2	126.3								
413.2	126.3								
413.4	125.5								
413.6	128.6								
413.7	130.8								
414	135.4								
414.1	137.7								
414.1	138.4								
414.2	142.2								
414.2	142.2								
414.3	143.7								
414.4	144.5								
414.7	147.5								
414.7	147.5								
414.7	146.8								
414.8	143								
414.9	143								
414.9	146								
415.1	147.5								
415.2	147.5								
415.2	147.5								
415.2	144.5								
415.3	139.2								
415.4	137.7								
415.4	136.9								
415.4	134.6								
415.4	133.9								
415.4	130.8								
415.4	128.6								
415.4	123.2								
415.5	119.5								
415.7	109.6								
415.7	108.8								
415.7	107.3								
415.7	105								
415.7	105								
415.8	101.3								
415.8	95.9								
415.8	94.4								
415.9	91.4								
415.9	89.1								
415.9	86.8								
416	86.8								
416	84.6								
416.1	81.5								
416.2	78.5								
416.2	77								
416.3	74								
416.6	76.2								
416.6	80								
416.6	80.8								
416.6	83.8								
416.8	86.1								
417	87.6								
417	91.4								
417	95.2								
417	95.9								
417.1	99.7								
417.1	99.7								
417.2	103.5								
417.3	104.3								
417.4	108.8								
417.4	111.9								
417.4	114.1								
417.6	114.9								
417.7	115.7								
417.8	108.8								
417.8	103.5								
417.8	102								
417.8	99								
417.8	93.7								
417.8	87.6								
417.8	86.8								
417.8	81.5								
417.9	78.5								
417.9	75.5								
417.9	74								
417.9	72.4								
417.9	67.9								
417.9	61.8								
417.9	60.3								
418	59.5								
418.1	56.5								
418.1	55								
418.3	53.5								
418.3	53.5								
418.3	53.5								
418.4	57.3								
418.5	60.3								
418.5	61.8								
418.7	64.1								
418.7	67.9								
418.8	70.9								
418.8	71.7								
419	74								
419	76.2								
419.1	80								
419.2	81.5								
419.2	81.5								
419.3	81.5								
419.3	81.5								
419.4	80								
419.4	77								
419.5	75.5								
419.5	74.7								
419.5	74								
419.7	73.2								
419.8	74.7								
419.9	75.5								
419.9	76.2								
420.1	75.5								
420.1	75.5								
420.2	76.2								
420.3	79.3								
420.4	80.8								
420.5	79.3								
420.6	78.5								
420.7	78.5								
420.8	76.2								
420.9	80								
421.1	81.5								
421.2	82.3								
421.2	81.5								
421.4	81.5								
421.4	80								
421.4	78.5								
421.5	77								
421.5	76.2								
421.6	76.2								
421.6	74.7								
421.7	74.7								
421.8	76.2								
421.9	77								
422	76.2								
422.1	74								
422.1	72.4								
422.2	72.4								
422.2	72.4								
422.3	70.2								
422.3	70.2								
422.2	70.2								
422.3	69.4								
422.5	70.2								
422.7	73.2								
422.8	74								
422.9	74.7								
423	74.7								
423.2	74.7								
423.3	74								
423.5	70.9								
423.7	68.6								
423.8	67.1								
423.9	64.1								
423.9	62.6								
424	62.6								
424.1	65.6								
424.2	64.1								
424.2	62.6								
424.3	62.6								
424.4	62.6								
424.5	61.1								
424.8	62.6								
424.9	65.6								
424.9	67.9								
425	67.9								
425	67.9								
425.1	65.6								
425.2	63.3								
425.3	61.1								
425.4	58.8								
425.5	61.8								
425.6	61.8								
425.6	59.5								
425.8	64.1								
425.9	67.9								
425.9	70.2								
425.9	70.9								
426	70.9								
426	70.9								
426.2	68.6								
426.4	67.9								
426.5	67.1								
426.5	66.4								
426.7	64.1								
426.7	64.1								
426.8	63.3								
426.8	62.6								
426.9	64.1								
427	66.4								
427.2	67.9								
427.3	68.6								
427.6	67.9								
427.6	67.1								
427.6	66.4								
427.6	66.4								
427.8	67.9								
427.9	69.4								
427.9	69.4								
428.1	69.4								
428.1	69.4								
428.2	67.9								
428.3	67.9								
428.3	65.6								
428.3	64.1								
428.4	61.1								
428.4	58.8								
428.5	57.3								
428.7	57.3								
428.8	58.8								
428.8	61.8								
428.9	64.1								
429	64.9								
429.1	64.1								
429.2	61.8								
429.2	61.8								
429.2	58.8								
429.3	55								
429.3	52								
429.4	50.4								
429.5	49.7								
429.6	49.7								
429.6	50.4								
429.7	50.4								
429.8	49.7								
430.1	48.9								
430.1	48.9								
430.2	48.9								
430.2	48.9								
430.4	48.9								
430.4	48.9								
430.6	49.7								
430.6	51.2								
430.6	51.2								
430.7	48.9								
430.7	48.9								
430.8	46.7								
430.9	45.1								
431	42.9								
431	42.1								
431.3	46.7								
431.2	52								
431.2	56.5								
431.2	61.1								
431.2	61.8								
431.2	64.9								
431.3	67.9								
431.4	71.7								
431.5	76.2								
431.6	81.5								
431.6	81.5								
431.6	83.8								
431.6	89.1								
431.8	90.6								
431.8	91.4								
431.9	92.9								
432	94.4								
432	95.2								
432	95.2								
432.1	96.7								
432.2	101.3								
432.2	102								
432.2	102.8								
432.2	103.5								
432.3	106.6								
432.4	108.8								
432.5	112.6								
432.5	118.7								
432.5	120.2								
432.5	124								
432.5	124								
432.5	124.8								
432.5	127								
432.6	130.1								
432.6	131.6								
432.8	133.1								
432.8	136.1								
432.9	136.1								
433	135.4								
433.1	131.6								
433.2	126.3								
433.2	122.5								
433.3	125.5								
433.4	130.8								
433.4	135.4								
433.4	137.7								
433.5	137.7								
433.6	136.1								
433.6	136.1								
433.6	132.3								
433.7	128.6								
433.7	124.8								
433.8	124								
433.9	122.5								
434.1	121								
434.2	120.2								
434.2	120.2								
434.5	121.7								
434.5	122.5								
434.7	126.3								
434.7	129.3								
434.8	131.6								
434.9	136.9								
435	139.9								
435.1	140.7								
435.1	142.2								
435.2	146								
435.2	147.5								
435.2	147.5								
435.3	146.8								
435.4	142.2								
435.6	139.9								
435.8	141.4								
436	137.7								
436	137.7								
436	132.3								
436	128.6								
436.1	124								
436.2	123.2								
436.2	121								
436.2	118.7								
436.2	114.1								
436.3	110.4								
436.3	105								
436.3	99.7								
436.4	92.2								
436.4	91.4								
436.4	89.9								
436.4	89.1								
436.4	88.4								
436.4	84.6								
436.4	82.3								
436.5	80.8								
436.6	83.8								
436.7	84.6								
436.8	86.1								
436.8	86.8								
436.9	87.6								
437	90.6								
437.1	92.2								
437.1	92.9								
437.1	93.7								
437.3	93.7								
437.3	91.4								
437.4	91.4								
437.6	91.4								
437.7	93.7								
437.7	93.7								
437.7	97.5								
438	103.5								
438.1	106.6								
438.1	109.6								
438.3	110.4								
438.4	109.6								
438.4	107.3								
438.6	104.3								
438.7	102								
438.9	99.7								
438.9	99								
438.9	96.7								
438.9	92.2								
438.9	92.2								
438.9	89.1								
438.9	86.1								
439	83.1								
439	83.1								
439	77								
439.4	70.2								
439.4	67.9								
439.4	66.4								
439.4	65.6								
439.4	63.3								
439.5	63.3								
439.5	58.8								
439.5	56.5								
439.5	55.8								
439.5	53.5								
439.5	51.2								
439.6	49.7								
439.6	47.4								
439.6	44.4								
439.7	39.8								
439.8	40.6								
439.8	35.3								
439.8	32.2								
440	30								
440.2	30								
440.3	30.7								
440.3	33.8								
440.4	37.6								
440.6	37.6								
440.7	37.6								
440.8	36								
440.9	33								
441.1	31.5								
441.4	30.7								
441.5	32.2								
441.6	36.8								
441.9	44.4								
441.9	49.7								
442.1	65.6								
442.1	67.9								
442.2	74.7								
442.2	75.5								
442.2	77								
442.5	94.4								
442.5	99.7								
442.6	102.8								
442.6	107.3								
442.6	111.1								
442.6	111.9								
442.7	115.7								
442.7	117.2								
442.7	119.5								
442.8	121								
442.8	124								
442.8	124								
442.8	126.3								
442.8	127								
442.9	127								
443	127								
443.2	123.2								
443.2	120.2								
443.3	117.9								
443.4	115.7								
443.5	113.4								
443.5	112.6								
443.5	111.1								
443.6	107.3								
443.6	107.3								
443.8	107.3								
443.9	111.9								
444.1	115.7								
444.1	117.2								
444.1	117.9								
444.2	114.1								
444.3	109.6								
444.4	105.8								
444.5	100.5								
444.6	96.7								
444.6	95.9								
444.9	88.4								
444.5	86.8								
444.6	84.6								
444.6	83.1								
444.6	80								
444.6	77								
444.6	74.7								
444.7	72.4								
444.7	70.9								
444.8	69.4								
444.8	67.9								
444.9	67.1								
444.9	64.9								
445	63.3								
445.1	61.1								
445.1	59.5								
445.2	58								
445.2	57.3								
445.3	55								
445.3	54.2								
445.4	54.2								
445.4	54.2								
445.5	55.8								
445.5	59.5								
445.6	61.8								
445.6	62.6								
445.6	64.1								
445.7	62.6								
445.8	60.3								
445.8	59.5								
445.9	58.8								
445.9	58.8								
446.2	58								
446.3	55.8								
446.3	55.8								
446.4	59.5								
446.6	60.3								
446.7	60.3								
446.7	58								
446.7	57.3								
446.7	55.8								
446.7	55.8								
446.6	55								
446.6	52.7								
446.8	52								
446.8	51.2								
446.9	46.7								
446.9	45.1								
446.9	44.4								
447.1	42.1								
447.1	41.3								
447.2	44.4								
447.2	47.4								
447.3	52								
447.5	52.7								
447.7	58								
447.7	59.5								
447.7	60.3								
448	64.1								
448.1	62.6								
448.1	58								
448.1	56.5								
448.1	53.5								
448.1	52.7								
448.1	48.2								
448.2	46.7								
448.3	45.9								
448.4	42.9								
448.4	40.6								
448.4	40.6								
448.5	39.1								
448.6	42.9								
448.6	46.7								
448.7	49.7								
448.8	51.2								
448.8	53.5								
448.9	57.3								
448.9	57.3								
449	60.3								
449	61.1								
449.1	61.1								
449.2	60.3								
449.3	58.8								
449.4	58								
449.5	58.8								
449.6	61.8								
449.6	62.6								
449.7	64.1								
449.8	67.1								
449.9	67.9								
450	69.4								
450	72.4								
450.1	74.7								
450.2	77								
450.2	78.5								
450.2	79.3								
450.2	80								
450.3	81.5								
450.3	82.3								
450.3	83.1								
450.4	83.1								
450.4	83.1								
450.5	81.5								
450.6	79.3								
450.9	77.7								
450.9	77								
450.9	73.2								
451.1	71.7								
451.2	72.4								
451.2	74								
451.4	77								
451.4	78.5								
451.5	78.5								
451.5	76.2								
451.6	74								
451.6	73.2								
451.5	75.5								
451.5	72.4								
451.7	69.4								
451.9	64.1								
452	61.1								
452	59.5								
452.1	62.6								
452.1	62.6								
452.1	62.6								
452.2	60.3								
452.2	58.8								
452.3	58								
452.3	57.3								
452.5	56.5								
452.6	55.8								
452.8	55								
452.9	59.5								
453	61.8								
453	62.6								
453	63.3								
453	64.9								
453.2	65.6								
453.3	65.6								
453.5	65.6								
453.5	65.6								
453.6	65.6								
453.7	64.9								
453.9	61.8								
454	61.1								
454	61.1								
454.1	62.6								
454.2	64.9								
454.4	67.1								
454.6	66.4								
454.8	64.9								
454.9	64.1								
455	65.6								
455	66.4								
455.1	69.4								
455.2	72.4								
455.3	74.7								
455.3	76.2								
455.4	77.7								
455.6	74.7								
455.6	70.9								
455.7	67.9								
455.7	64.9								
455.9	61.8								
456	61.8								
456.1	64.9								
456.2	67.1								
456.3	67.9								
456.4	66.4								
456.6	64.1								
456.6	62.6								
456.8	61.1								
456.9	59.5								
457	62.6								
457.2	66.4								
457.2	70.9								
457.2	74								
457.3	75.5								
457.5	76.2								
457.7	73.2								
457.8	69.4								
457.9	67.1								
457.9	64.1								
458	61.8								
458	58.8								
458.1	60.3								
458.2	61.1								
458.3	63.3								
458.4	67.1								
458.5	69.4								
458.5	70.2								
458.6	70.9								
458.7	67.9								
458.9	66.4								
459	66.4								
459.1	67.1								
459.1	67.9								
459.2	67.1								
459.4	64.9								
459.4	62.6								
459.5	61.8								
459.6	61.8								
459.6	61.8								
459.8	64.1								
459.8	64.9								
460.1	64.9								
460.4	64.9								
460.5	66.4								
460.5	67.9								
460.6	71.7								
460.6	72.4								
460.7	73.2								
460.9	73.2								
461.1	76.2								
461.2	77								
461.2	77								
461.7	80								
461.7	81.5								
461.7	77.7								
461.7	75.5								
461.8	75.5								
461.9	74								
461.9	74								
461.9	72.4								
462.3	74								
462.4	74								
462.7	72.4								
463	70.9								
463.1	74								
463.1	76.2								
463.2	77								
463.3	78.5								
463.4	80.8								
463.5	82.3								
463.6	82.3								
463.7	83.1								
463.7	83.1								
463.7	82.3								
463.8	81.5								
463.9	79.3								
464	77								
464.2	77								
464.3	79.3								
464.3	80.8								
464.4	81.5								
464.5	80								
464.6	79.3								
464.7	77.7								
464.9	79.3								
465.1	82.3								
465.2	86.1								
465.4	87.6								
465.4	89.1								
465.6	89.9								
465.6	87.6								
465.6	85.3								
465.8	83.8								
465.8	81.5								
465.8	80								
465.8	79.3								
465.8	79.3								
466	77								
466	77								
466.1	78.5								
466.2	80.8								
466.2	82.3								
466.3	83.1								
466.4	83.8								
466.5	83.8								
466.5	81.5								
466.6	79.3								
466.7	78.5								
466.8	78.5								
466.9	79.3								
466.9	80.8								
467.1	84.6								
467.1	85.3								
467.3	86.8								
467.4	88.4								
467.5	89.1								
467.6	88.4								
467.7	87.6								
467.9	85.3								
467.9	85.3								
468.1	83.8								
468.2	86.8								
468.2	89.9								
468.3	92.9								
468.4	94.4								
468.4	94.4								
468.4	95.9								
468.5	95.2								
468.7	92.2								
468.7	90.6								
468.7	89.9								
468.8	89.9								
468.9	90.6								
469	90.6								
469.2	93.7								
469.2	93.7								
469.5	92.9								
469.7	92.2								
469.7	90.6								
469.8	90.6								
469.9	89.9								
470	88.4								
469.9	89.1								
469.9	88.4								
470.1	86.1								
470.2	85.3								
470.3	85.3								
470.3	84.6								
470.4	83.1								
470.4	81.5								
470.5	80.8								
470.5	80.8								
470.6	78.5								
470.7	76.2								
471	79.3								
471.2	82.3								
471.2	88.4								
471.2	89.1								
471.3	92.9								
471.4	95.2								
471.6	99								
471.6	101.3								
471.6	102								
471.6	100.5								
471.6	97.5								
471.7	94.4								
471.7	93.7								
471.8	91.4								
471.8	89.1								
471.9	86.8								
472	85.3								
472	83.8								
472	83.1								
472.1	81.5								
472.1	81.5								
472.1	80								
472.1	80								
472.2	79.3								
472.4	77.7								
472.5	74.7								
472.6	74.7								
472.6	74								
472.7	71.7								
472.8	71.7								
472.9	70.2								
473	69.4								
473	69.4								
473.2	70.9								
473.3	75.5								
473.4	77.7								
473.6	83.1								
473.6	83.8								
473.6	83.8								
473.6	88.4								
473.6	94.4								
473.6	98.2								
473.6	102.8								
473.8	107.3								
473.8	109.6								
473.8	111.9								
473.7	113.4								
473.7	114.1								
473.7	115.7								
473.8	116.4								
473.8	117.9								
474	122.5								
474	124								
474	125.5								
474	127								
474.1	129.3								
474.1	130.1								
474.1	130.8								
474.1	131.6								
474.1	132.3								
474.2	133.1								
474.3	131.6								
474.4	125.5								
474.4	124								
474.4	121.7								
474.5	120.2								
474.5	119.5								
474.6	117.9								
474.6	117.2								
474.7	114.9								
474.7	112.6								
474.8	110.4								
474.8	110.4								
474.8	108.8								
474.8	108.1								
474.8	106.6								
474.8	105								
474.9	102.8								
474.9	101.3								
474.9	100.5								
475	98.2								
475	96.7								
475	95.2								
475.1	92.2								
475.1	93.7								
475.2	98.2								
475.3	101.3								
475.3	102								
475.4	105								
475.5	107.3								
475.5	108.8								
475.5	112.6								
475.5	114.9								
475.6	117.2								
475.9	120.2								
475.9	120.2								
476.1	117.9								
476.1	116.4								
476.2	112.6								
476.3	108.8								
476.3	101.3								
476.5	99.7								
476.5	98.2								
476.7	92.9								
476.9	90.6								
476.9	84.6								
477	80.8								
477	77								
477.1	70.9								
477.1	67.9								
477.1	65.6								
477.1	62.6								
477.1	58								
477.1	55.8								
477.1	53.5								
477.1	51.2								
477.2	48.9								
477.2	47.4								
477.2	45.1								
477.4	43.6								
477.4	42.9								
477.5	43.6								
477.6	44.4								
477.6	47.4								
477.7	48.9								
477.7	48.9								
477.8	46.7								
477.9	43.6								
478.2	40.6								
478.2	43.6								
478.3	45.1								
478.4	46.7								
478.5	48.9								
478.6	48.9								
478.6	49.7								
478.6	50.4								
478.7	50.4								
478.8	50.4								
479	47.4								
