Depth	Gamma
116.7	69.1
116.9	69.7
116.9	70.7
116.9	72.9
116.9	74.5
117	74
117.2	72.4
117.2	72.4
117.4	71.8
117.5	72.4
117.5	74.5
117.6	78.3
117.8	78.8
118	77.8
118.1	77.2
118.1	76.1
118.2	75.6
118.6	78.3
118.6	79.9
118.6	81
118.7	83.2
118.9	82.1
118.9	78.8
119	78.3
119	76.7
119	76.1
119	75.1
119	75.1
119.2	73.4
119.3	72.9
119.4	75.1
119.5	76.7
119.8	76.7
119.8	77.2
119.9	79.4
119.9	79.9
119.9	81.6
119.9	82.1
119.9	82.6
119.9	84.3
119.9	85.9
120.3	86.4
120.3	86.4
120.4	86.4
120.4	87
120.4	88.6
120.4	89.1
120.4	89.7
120.5	91.3
120.5	92.4
120.7	95.6
120.7	97.2
120.7	97.2
120.7	99.4
120.7	99.9
120.8	97.8
120.9	96.2
120.9	93.4
121.1	91.8
121.3	89.7
121.3	89.7
121.3	87.5
121.3	87.5
121.3	85.3
121.4	84.8
121.4	84.3
121.4	84.3
121.5	83.2
121.6	82.6
121.7	82.6
121.8	83.2
122	84.3
122.1	84.3
122.2	85.3
122.2	85.9
122.3	88
122.3	88.6
122.3	88.6
122.4	87
122.5	87
122.5	87.5
122.5	88
122.6	90.2
122.7	91.8
122.7	90.2
123	88.6
123.1	88.6
123.3	89.7
123.3	90.7
123.5	94
123.6	95.1
123.6	97.2
123.8	98.9
123.8	100.5
123.9	101
123.9	101
124	100.5
124.2	99.9
124.5	101.6
124.5	102.1
124.5	100.5
124.5	97.8
124.5	97.2
124.5	97.2
124.5	95.6
124.7	94
124.8	92.9
125	91.3
125	90.7
125	89.7
125.1	89.1
125.2	88
125.3	89.7
125.2	94
125.3	95.6
125.4	95.6
125.4	96.2
125.6	96.7
125.6	98.3
125.8	98.3
125.8	96.2
125.8	95.1
125.9	93.4
126.1	90.7
126.1	89.1
126.1	85.9
126.1	83.2
126.1	83.2
126.2	81.6
126.4	83.2
126.5	85.3
126.5	88
126.6	89.7
126.7	90.2
126.8	88
126.9	87
127	83.7
127.1	83.7
127.1	85.9
127.2	86.4
127.2	89.1
127.2	90.7
127.3	92.9
127.4	91.3
127.4	90.7
127.4	92.4
127.6	94.5
127.7	94.5
127.7	91.8
127.7	89.7
127.9	89.7
128	91.8
128.3	92.9
128.3	92.9
128.3	90.7
128.4	89.7
128.4	88.6
128.6	85.9
128.7	84.8
128.8	85.9
128.9	86.4
128.9	86.4
129	84.3
129.1	82.6
129.2	79.9
129.3	78.8
129.4	81.6
129.5	79.9
129.6	77.2
129.6	75.1
129.9	78.8
130	80.5
130	81.6
130.1	83.7
130.1	85.9
130.1	86.4
130.2	86.4
130.2	87
130.3	88.6
130.3	92.9
130.4	95.1
130.5	94
130.7	91.8
130.8	90.7
130.8	90.7
130.9	89.1
131	88.6
131	88
131.1	88.6
131.3	90.7
131.3	91.3
131.5	92.4
131.6	90.2
131.7	88
131.7	88
131.7	90.2
131.7	91.3
131.8	91.8
132	91.3
132.2	89.1
132.2	89.1
132.5	88
132.6	88
132.7	85.9
132.6	83.2
132.7	81
132.9	79.9
132.9	78.8
132.9	78.8
133.1	79.9
133.2	83.7
133.2	84.8
133.2	84.8
133.4	85.3
133.4	84.8
133.5	83.2
133.6	82.6
133.7	83.2
133.7	82.1
133.7	80.5
133.7	79.9
133.8	79.4
134	78.3
134	78.3
134	78.8
134.1	80.5
134.1	81
134.1	79.4
134.1	79.4
134.2	79.9
134.3	80.5
134.4	82.1
134.4	82.1
134.4	81
134.5	81.6
134.5	83.2
134.6	87
134.6	88.6
134.8	92.4
134.8	92.4
134.9	93.4
135.1	94.5
135.2	92.9
135.2	94
135.2	94
135.4	96.2
135.5	97.2
135.6	98.9
135.7	99.9
135.8	102.1
135.9	103.7
135.9	104.3
136.1	104.8
136.2	101.6
136.2	99.4
136.2	96.7
136.2	95.1
136.3	91.3
136.3	90.7
136.4	89.1
136.6	88
136.6	87.5
136.7	87.5
136.8	87.5
136.9	87.5
136.9	87.5
136.9	86.4
137.1	86.4
137.1	88
137.1	88.6
137.2	90.7
137.2	92.9
137.3	92.9
137.3	92.9
137.4	91.3
137.5	92.9
137.7	94.5
137.7	95.1
137.8	95.1
137.8	93.4
138	89.7
138.2	90.7
138.3	92.9
138.6	95.6
138.7	97.2
138.7	97.8
138.8	97.8
138.8	95.6
138.8	92.9
138.9	91.8
139	91.8
139.1	92.4
139.1	92.9
139.1	93.4
139.2	94.5
139.3	95.1
139.3	95.1
139.3	96.2
139.5	95.6
139.6	95.6
139.6	92.9
139.7	90.2
139.8	86.4
140	83.2
140.2	80.5
140.4	79.4
140.6	82.1
140.6	82.6
140.7	84.3
140.9	87.5
141	87.5
141	89.1
141.2	89.7
141.2	86.4
141.4	84.8
141.4	84.8
141.6	87.5
141.8	88
142	88
142	88
142.2	87
142.4	87
142.5	87
142.7	86.4
142.9	85.3
143	83.2
143.2	81
143.2	80.5
143.2	78.8
143.3	78.3
143.4	78.3
143.6	82.6
143.6	83.7
143.8	88
143.8	91.3
143.7	93.4
143.7	95.1
143.9	97.8
144.2	96.2
144.3	92.9
144.3	92.4
144.3	90.7
144.3	88.6
144.5	87
144.6	85.9
144.9	86.4
145	88
145.4	89.7
145.5	90.2
145.6	90.2
145.9	89.7
145.9	89.7
146.2	87
