Depth	Gamma
292.5	120.4
292.8	124.7
293.1	125.8
293.6	119.9
293.7	130.6
294.1	132.2
294.2	126.3
294.9	128.4
295.7	119.3
296.1	125.8
296.6	132.2
297.2	118.8
297.6	122.5
297.6	123.1
297.7	127.9
298.3	123.1
298.9	130.1
299.2	137.6
299.5	146.7
299.9	133.8
300.3	114.5
300.8	128.4
301.1	122
301.6	139.7
302	133.3
302.1	126.8
302.5	126.3
302.5	127.9
303	133.3
303	133.3
303.3	131.7
303.8	123.6
304.2	126.3
304.7	108.6
305.1	123.6
305.6	134.3
305.8	135.4
306	125.2
306.5	116.6
306.8	110.2
306.8	111.3
307.4	139.2
307.8	125.8
308.4	120.9
308.7	128.4
308.7	128.4
309.1	131.7
309.1	130.6
309.2	126.8
309.7	127.4
310.1	118.2
310.9	138.6
311.2	131.1
311.8	120.9
312.1	131.1
312.3	119.3
313	112.3
313.9	126.3
313.9	126.8
314.2	113.4
314.2	112.9
314.4	107
314.4	107
314.8	107
315.1	98.9
315.1	98.9
315.5	102.2
315.7	97.3
315.8	97.3
316.1	101.6
316.2	101.6
316.6	88.2
316.7	88.2
317	97.9
317.6	79.6
318.4	104.3
318.7	122
318.7	121.5
319.2	103.8
319.7	123.1
319.7	122.5
320.2	100.5
320.8	110.2
320.8	96.2
321.5	100.5
322.2	96.2
322.8	99.5
323.2	93.6
323.8	100
323.8	99.5
324.4	90.9
324.5	90.3
325.2	92
325.6	89.3
326.4	107.5
327	88.2
327.4	96.2
327.7	106.4
328.1	98.9
328.8	97.3
329.2	115.6
329.4	123.1
329.9	107
330.4	96.2
330.7	92
331.1	73.7
331.2	74.3
331.7	95.2
332	90.3
332.7	88.2
333.1	95.7
333.3	94.6
333.8	103.2
334.4	98.4
334.5	92.5
334.9	103.8
335.2	101.6
335.6	90.3
335.6	82.8
335.7	71
335.8	70.5
335.8	67.3
336.3	81.2
336.9	86.1
337	84.4
337	85.5
337.5	94.1
338	100.5
338.5	107
339	104.8
339.6	118.8
339.9	112.3
340.3	101.1
340.6	107.5
341.2	105.9
342	101.1
342	101.1
342.5	109.1
342.8	111.8
343	110.2
343.2	110.2
343.4	110.2
344.1	134.3
344.3	144
344.7	144.5
345	134.3
345.3	139.7
345.7	128.4
345.7	122.5
346.3	133.8
346.6	130.1
347.3	130.1
347.8	129
348.1	134.3
348.2	133.3
348.3	125.8
348.8	127.9
349	124.7
349.5	128.4
349.7	122.5
350.1	115.6
350.3	114.5
350.6	117.7
351	120.9
351.2	116.6
351.5	122.5
351.5	123.1
352.2	117.2
352.6	131.7
352.9	120.4
353.3	123.1
353.6	124.7
353.8	122
354.1	125.2
354.4	129.5
354.7	131.7
354.9	134.3
355.2	144
355.4	148.3
355.7	140.2
355.9	142.9
356.2	138.1
356.2	137.6
356.6	129.5
356.6	122
357.1	127.4
357.2	134.3
357.5	138.1
357.9	130.1
358.2	131.1
358.2	131.7
358.4	127.9
358.4	127.4
358.7	120.4
359.1	124.1
359.3	130.1
359.6	137.6
359.8	134.3
360.2	133.3
360.3	126.8
360.7	119.9
360.9	126.3
361.3	134.3
361.4	134.3
361.7	127.9
361.9	117.7
361.9	117.7
362.3	117.2
362.3	117.7
362.6	127.9
362.9	135.4
362.9	135.4
363.1	129.5
363.3	123.1
363.3	122.5
363.5	118.8
363.5	118.8
363.8	129
364.2	129
364.6	130.6
365	125.8
365.2	119.3
365.4	114.5
365.9	115.6
366.2	123.6
366.6	129.5
366.9	126.8
367.3	124.7
367.5	126.8
367.7	126.8
368.1	119.9
368.3	124.1
368.8	130.6
369.1	136
369.3	129
369.5	120.4
370	124.7
370.5	122.5
370.6	122.5
370.8	120.9
371.3	129.5
371.6	127.9
371.7	124.1
372.2	113.4
372.7	124.1
372.9	130.6
373	120.4
373.3	116.6
373.7	112.9
374.4	120.9
374.6	130.6
374.8	137
375.4	127.9
375.5	135.4
375.8	132.2
376	129
376.6	130.6
377	134.3
377.3	138.1
377.3	139.2
377.7	146.1
377.8	139.7
378.3	127.4
378.7	107
379.2	126.3
379.3	112.3
379.7	97.9
379.9	102.7
380.2	92.5
380.5	86.6
380.7	99.5
381	89.8
381.1	82.8
381.5	85.5
381.9	77.5
382.3	84.4
382.9	89.8
383.3	83.4
383.5	68.9
383.6	51.7
383.7	35.1
383.9	22.2
384	17.4
384.6	16.8
385.5	28.1
385.8	31.9
386.3	27
386.5	20.6
387.2	21.7
387.6	25.4
388	17.9
388.4	18.5
388.9	21.1
389.3	20.1
390	23.3
390.3	26.5
390.4	26
390.9	24.4
391.5	33.5
392.1	46.4
392.5	42.1
392.9	34.5
393.2	37.2
393.7	33.5
394.3	37.2
394.6	37.2
395.1	45.8
395.5	53.3
395.6	52.3
396	46.4
396.5	42.6
397	34.5
397.2	34
397.7	37.8
398.8	35.1
399.1	26
399.6	21.1
400.2	30.3
400.9	40.4
401.3	38.3
401.7	41.5
401.9	39.4
401.9	39.4
402.5	43.1
402.9	42.1
403.3	44.2
403.6	35.1
403.7	29.2
403.8	29.2
404.4	26.5
405.3	35.6
405.8	35.1
406.1	31.3
406.7	33.5
407	26
407.5	37.2
408.9	39.9
409.3	34.5
410	39.9
410.3	29.2
410.8	24.9
410.8	24.9
411.3	32.9
411.5	37.8
411.9	34.5
412.4	30.8
412.8	37.2
413.4	29.7
413.9	38.8
414.2	37.2
414.6	43.1
415	34
415.8	29.7
416.2	38.3
416.4	31.9
417	35.6
417.2	31.3
417.9	43.1
418.2	51.7
418.7	50.6
419.1	63
419.2	60.8
419.3	60.3
419.7	80.2
420	68.9
420.2	54.4
420.7	60.3
421	66.7
421.6	72.6
422	72.6
422.2	71
422.6	74.3
422.7	69.4
423	65.1
423.4	67.3
423.7	73.2
423.8	69.4
423.9	69.4
424	63
424	63
424.3	53.9
424.3	53.9
424.6	48
425	46.9
425.6	54.9
425.6	61.9
425.6	73.2
426.1	71.6
426.5	89.3
427.1	74.8
428	69.4
428.3	56
428.7	37.2
429.1	28.6
429.2	28.6
429.9	28.6
430.2	23.8
430.3	23.8
430.8	24.9
431	17.4
431.7	15.8
432.2	35.1
432.6	66.2
433.2	97.3
433.6	98.9
433.9	112.9
434.1	122
434.4	107.5
434.8	96.2
435.1	80.7
435.3	63.5
435.4	51.2
435.6	42.6
436.1	48
436.5	44.2
437.2	52.3
437.5	45.8
437.8	49.6
438.1	55.5
438.1	54.9
438.5	49
438.6	46.4
439.1	53.3
439.2	57.1
439.6	51.7
439.8	53.9
439.9	48
440.4	51.2
440.8	56
441.2	49
441.4	42.6
441.9	34
442.5	36.2
443.2	41
443.5	41
443.9	52.8
444.3	48.5
444.7	42.6
445	43.1
445.5	42.1
445.9	43.7
446	42.1
446.4	45.3
446.7	41.5
446.8	40.4
446.8	40.4
447.2	47.4
447.7	47.4
447.7	46.9
447.9	44.2
447.9	43.7
448.1	42.1
448.8	44.2
449.2	48.5
449.8	48
450.6	48.5
451.2	48.5
451.5	51.7
451.6	52.3
452.2	54.4
452.3	54.4
452.7	53.3
453	59.8
453.6	62.4
454	68.3
454.2	63
454.4	67.8
455	61.9
455.4	70
455.8	63
455.8	63
456.3	71.6
456.6	60.3
457.5	69.4
458.1	68.3
458.7	68.3
458.7	67.3
459	66.2
459.5	67.3
459.7	65.7
460	72.6
460.8	72.6
461.1	73.7
461.6	78.5
461.8	65.7
462.6	70
463	73.2
463.5	65.7
463.6	60.8
464	50.1
464.6	44.7
465.1	41
465.1	41
465.6	49
465.9	51.7
466.4	45.3
466.8	40.4
466.9	40.4
467.2	49.6
467.5	51.2
467.8	51.2
467.9	43.7
468.2	37.8
468.5	46.4
468.9	60.8
469.2	67.8
469.3	61.9
469.7	57.6
470.1	58.7
470.7	71
471	63
471.7	68.3
472.2	75.3
472.8	81.8
473.1	118.2
473.2	145.1
473.2	145.1
474.1	144
474.5	116.6
474.6	85.5
474.9	60.3
475.3	39.9
475.6	30.3
475.9	35.6
476.3	37.8
476.3	38.3
476.7	53.9
477.5	137.6
477.5	158.5
478.8	156.3
478.9	141.3
479	119.9
479	94.1
479.2	63
479.3	48
479.8	80.7
480	57.1
480.3	29.7
481.1	32.9
481.7	43.1
482.3	28.1
482.5	18.5
483.3	17.4
484	30.8
484.7	30.8
485.3	21.7
485.5	26.5
486.2	20.1
486.8	23.3
487.6	16.3
488.4	20.6
488.9	50.1
489	78.5
489.3	125.2
490.1	127.9
490.4	129
490.9	141.3
490.9	132.7
491.9	123.6
492.2	130.1
492.6	132.7
493	133.3
493.3	127.4
493.7	111.3
494.1	98.4
494.3	73.7
494.9	95.7
495.2	73.7
495.5	57.6
496.1	59.8
496.6	75.9
497	102.7
497.3	137
497.6	122
497.8	103.2
497.8	82.3
498.5	109.1
499	100.5
499.4	109.1
499.9	109.7
500.1	122.5
500.6	122.5
501.1	129
501.7	107.5
502	116.1
502.5	117.7
502.7	109.1
503.4	106.4
503.6	122
503.9	121.5
504.7	122
505.3	125.2
505.3	126.8
505.5	118.8
505.7	114
506.3	112.9
506.7	101.6
507	109.7
507.3	105.9
507.5	114
508.2	122.5
508.9	116.6
509.5	116.1
509.7	126.3
509.9	120.4
509.9	120.4
510.4	132.2
510.7	135.4
510.8	129.5
511.3	134.9
511.5	127.4
511.6	126.3
511.8	123.1
512.4	127.4
513	126.3
513.4	122
513.6	128.4
513.7	117.2
514.1	123.6
514.4	126.3
515.2	137
515.4	131.1
515.4	130.6
515.9	126.3
516.1	124.7
516.2	124.1
516.4	118.8
516.4	118.8
516.9	110.2
516.9	120.9
517.2	127.4
517.6	124.7
517.9	126.3
518.2	132.7
518.5	129.5
518.7	117.2
519	105.9
519.5	105.9
519.9	104.3
520	97.9
520.4	86.6
520.6	81.2
520.8	103.8
521.3	108.6
521.6	100.5
522.2	105.9
522.6	109.7
522.6	112.3
522.7	112.3
523.1	118.8
523.3	112.9
523.7	115.6
524	116.1
524.2	122.5
524.8	115.6
525.2	125.2
525.6	111.8
526.2	119.9
526.5	120.4
527	124.1
527.2	118.2
527.2	112.9
527.8	112.3
528.2	126.3
528.8	120.4
529.4	125.2
529.5	125.2
529.5	125.2
529.7	122
530.2	129
530.5	119.3
530.8	131.1
531.2	132.2
531.8	128.4
532.4	117.2
532.8	133.8
533	126.3
533.3	120.9
533.8	130.1
534.1	131.7
534.4	126.8
534.7	131.1
535	122
535.4	108.6
535.5	96.8
536.1	102.2
536.1	102.7
536.7	104.3
537	103.8
537	104.3
537.1	111.8
537.7	119.9
538	112.9
538.3	116.6
538.6	112.3
538.8	119.3
539.8	115
540.1	122
540.4	124.1
540.8	118.2
541.3	122
541.5	129
541.8	124.1
542.4	124.1
542.6	132.2
543.1	127.9
543.2	134.3
543.6	143.5
543.9	138.1
543.9	137.6
544.1	138.1
544.1	138.1
544.5	127.4
544.8	108.1
544.9	100.5
545	111.3
545.2	134.9
545.6	147.8
545.9	137
545.9	114.5
546.2	87.1
546.5	65.7
546.5	65.1
546.6	48.5
546.8	31.3
546.9	24.9
547.4	38.3
547.6	31.9
547.8	35.1
548.5	40.4
548.8	37.8
549.2	54.4
549.5	51.2
550.2	91.4
550.5	79.6
550.8	74.8
551	73.7
551	72.1
551.3	64.6
551.8	60.3
551.8	60.3
552.8	71
553.2	69.4
553.9	83.9
554.3	81.2
554.7	85
555.1	80.7
555.3	82.8
555.6	79.6
555.9	86.1
556.3	102.7
556.7	97.3
556.7	96.8
557	92
557	90.3
557.2	79.6
557.4	83.4
557.5	83.9
557.7	78
558.1	69.4
558.6	66.7
558.9	72.1
559	67.8
559.1	67.8
559.7	63.5
560.1	63
560.8	65.7
560.9	66.2
561.2	76.9
561.3	82.8
561.9	92.5
562.3	98.4
562.6	95.2
562.7	94.1
563	87.1
563.2	82.3
563.6	78
564.1	87.1
564.3	93.6
564.5	92
564.6	92
564.8	82.8
565.1	77.5
565.1	78
565.4	85.5
565.6	87.7
566.3	84.4
566.9	97.3
567.2	111.3
567.5	103.2
567.7	93.6
568	83.9
568.2	76.9
568.6	97.3
569.1	115
569.3	123.6
569.6	126.8
569.8	118.8
570.2	112.9
570.5	115
570.9	113.4
571.4	116.6
571.7	123.1
572	118.8
572.1	121.5
572.5	122.5
573	123.6
573.4	115.6
573.5	116.1
573.8	125.8
574	122.5
574.6	124.1
574.6	123.6
574.6	122.5
574.8	125.8
575	109.7
575.3	77.5
575.6	49
576	70.5
576.2	56.5
576.5	35.6
577.1	42.1
577.6	52.8
577.6	52.3
578.1	51.7
578.6	51.2
579.1	45.8
579.1	45.8
579.8	52.3
580.3	58.7
580.7	54.9
581	63
581.4	64.1
581.7	58.2
582.1	61.9
582.7	65.7
583.2	69.4
583.4	61.9
583.4	56.5
583.4	56
584.4	58.2
584.7	57.1
585.3	70
585.7	65.1
585.7	64.6
585.9	53.9
585.9	53.9
586.3	45.8
587.3	52.8
587.7	53.9
588.1	64.1
588.5	54.9
588.5	54.4
589	54.4
589.2	51.2
590	50.6
590.4	51.2
591.1	36.7
591.5	51.7
591.9	51.2
592.2	43.1
592.7	51.7
593.2	54.4
593.7	51.2
593.9	53.3
594.4	43.1
595	43.1
595.5	38.8
596	42.1
596.4	36.7
596.9	36.2
597.2	30.3
597.7	31.9
597.8	37.2
597.8	36.7
598.6	51.7
599	70
599.5	66.2
600	66.7
600.5	58.7
600.6	53.9
600.8	57.1
600.9	57.6
601.4	59.8
601.7	67.3
601.7	68.9
602.1	85.5
602.4	99.5
602.9	107
603.2	98.9
603.3	93.6
603.6	82.3
604.1	89.8
604.4	96.2
605	113.4
605	118.8
605.3	108.1
605.5	103.2
605.8	107
606.2	112.3
606.5	122
606.7	130.6
606.8	136.5
607.5	152.6
607.7	138.6
607.7	138.1
607.7	125.2
607.9	111.8
608	94.1
608.1	78.5
608.2	63.5
608.3	45.3
608.3	33.5
608.6	22.7
609	26.5
609.4	41
609.6	51.7
609.9	43.7
609.9	37.2
610.2	31.9
610.4	49
610.7	71.6
610.7	90.9
610.8	123.1
611.2	138.6
611.3	123.1
611.5	109.1
612	94.1
612.4	119.9
612.7	139.2
613	127.9
613.4	106.4
613.6	110.2
613.6	110.7
614	113.4
614.2	108.6
614.2	109.1
614.8	120.4
615	114.5
615	103.8
615.2	95.7
615.4	93
615.7	107
615.9	125.8
616.3	116.1
616.4	119.3
616.7	113.4
616.7	113.4
617.1	127.4
617.4	128.4
617.6	122
617.8	119.9
618.2	131.1
618.6	126.8
618.7	119.3
618.8	111.3
619.2	104.8
619.3	124.7
619.5	140.2
619.8	134.9
620.1	139.2
620.2	137.6
620.5	140.8
620.9	135.4
621.1	129
621.3	127.9
621.6	122
622	114.5
622	96.2
622.2	72.6
622.6	52.3
622.9	58.2
623.2	48.5
623.5	34.5
623.8	29.2
624.5	30.3
625.3	38.3
625.5	31.9
625.4	26
625.7	31.3
626	38.8
626.2	44.7
626.5	36.2
626.7	45.3
627	53.9
627	54.9
627.2	67.8
627.3	55.5
627.5	46.4
627.6	39.4
627.7	35.6
628.2	46.4
628.5	50.6
