Depth	Gamma
110.4	88.9
110.5	90.9
110.5	91.4
110.5	93.5
110.5	96.1
110.6	98.1
110.7	100.7
110.9	106.8
110.9	108.9
111	108.9
111	108.9
111.1	107.9
111.2	106.3
111.2	105.8
111.3	105.8
111.4	107.9
111.4	108.9
111.6	109.9
111.6	107.3
111.7	104.3
111.7	103.8
111.8	101.7
111.9	100.7
111.9	99.7
112	97.1
112	96.6
112.1	93.5
112.1	92
112.1	89.4
112.2	89.9
112.3	92.5
112.3	93.5
112.4	94.5
112.4	94.5
112.5	91.4
112.5	90.9
112.5	89.9
112.6	91.4
112.6	93.5
112.6	93.5
112.7	90.9
112.7	88.9
112.9	89.4
113	88.9
113.1	86.3
113.2	85.8
113.3	83.2
113.4	82.7
113.6	81.2
113.6	79.6
113.7	79.1
113.7	77.6
113.8	80.2
113.8	82.2
114	82.7
114	82.7
114.1	83.2
114.3	85.3
114.3	85.3
114.4	87.3
114.4	89.4
114.5	92.5
114.5	93
114.6	95
114.6	97.1
114.7	99.1
114.7	100.2
114.7	101.2
114.7	102.2
114.9	103.8
114.9	104.3
115	103.8
115	102.7
115	101.2
115	98.1
115.1	96.1
115.2	93.5
115.2	90.9
115.2	87.9
115.2	86.3
115.2	85.8
115.3	84.3
115.3	83.2
115.3	83.2
115.3	81.7
115.4	80.2
115.4	80.2
115.4	80.2
115.6	80.7
115.7	83.2
115.9	87.3
115.9	87.9
115.9	88.4
116	88.4
116	88.9
116.1	88.9
116.1	88.9
116.1	87.9
116.2	85.3
116.3	83.8
116.4	82.7
116.4	80.7
116.5	79.6
116.5	78.6
116.6	77.6
116.7	77.6
116.8	80.2
116.8	83.2
116.8	85.3
116.9	86.8
116.9	88.4
117.1	88.9
117.1	88.9
117.2	88.4
117.3	86.3
117.5	84.3
117.6	82.7
117.7	80.7
117.8	79.1
117.9	78.6
117.9	79.1
117.9	80.2
117.9	81.2
118	82.2
118	83.2
118.1	84.8
118.1	86.8
118.1	88.4
118.3	92
118.3	93
118.4	95
118.5	97.1
118.5	98.1
118.5	98.1
118.5	96.6
118.6	94.5
118.6	94
118.6	90.4
118.6	86.8
118.7	84.8
118.8	82.2
118.8	80.2
118.8	80.2
118.9	79.1
119.1	76.6
119.1	76.1
119.2	76.6
119.2	76.6
119.3	78.6
119.4	79.6
119.5	81.7
119.6	85.3
119.7	86.8
119.7	88.4
119.7	88.9
119.7	90.9
119.8	93
119.9	95
119.9	95.5
119.9	96.6
119.9	97.1
120.1	94.5
120.1	94.5
120.2	93
120.2	92
120.2	87.3
120.2	85.3
120.2	83.2
