Depth	Gamma
126.6	95.7
126.6	95.7
126.8	95.7
127	96.9
127.1	97.5
127.3	97.5
127.3	97.5
127.5	93.9
127.6	91.5
127.7	90.9
127.9	89.1
128	92.1
128	92.7
128.1	92.7
128.3	92.7
128.4	92.1
128.5	90.3
128.7	89.1
128.8	90.3
128.9	93.3
128.9	95.1
128.9	96.9
129	97.5
129	98.6
129.1	100.4
129.3	103.4
129.5	103.4
129.6	102.8
129.7	99.8
129.8	98.6
129.8	96.9
130	93.9
130.1	92.1
130.1	89.7
130.2	91.5
130.2	92.1
130.2	94.5
130.3	96.9
130.3	99.2
130.5	99.8
130.6	97.5
130.6	95.7
130.7	96.9
130.8	95.7
130.9	95.1
130.9	94.5
130.9	93.9
131	92.7
131.2	92.7
131.2	92.1
131.3	90.3
131.3	90.3
131.6	88.5
131.7	88.5
132	90.9
132.2	92.7
132.2	95.7
132.4	97.5
132.5	98.6
132.5	99.8
132.6	99.8
132.7	99.8
132.7	99.8
132.9	98.6
133.1	98
133.2	98
133.2	97.5
133.3	96.3
133.4	95.1
133.5	95.7
133.6	95.7
133.7	97.5
133.7	99.8
133.8	101
133.9	100.4
133.9	98
133.9	97.5
134	93.9
134	92.7
134	95.7
134.1	97.5
134.2	98
134.3	98
134.4	97.5
134.4	96.9
134.4	95.7
134.4	95.7
134.5	95.7
134.6	97.5
134.6	98
134.7	96.9
134.8	95.7
134.8	94.5
135	93.3
135	91.5
135.1	89.7
135.2	90.9
135.2	91.5
135.2	92.7
135.3	93.3
135.4	93.3
135.5	95.1
135.7	94.5
135.8	92.7
135.9	93.9
136	94.5
136.1	95.1
136.1	97.5
136.2	98
136.3	98
136.3	98
136.3	98
136.5	96.3
136.6	94.5
136.7	93.9
136.7	93.9
136.7	91.5
136.7	90.3
136.9	86.7
136.9	86.7
137	86.1
137.3	89.7
137.3	90.3
137.3	90.9
137.4	90.9
137.7	89.7
137.9	89.1
138	90.9
138.1	92.1
138.3	95.1
138.3	96.9
138.4	99.8
138.5	99.8
138.5	99.8
138.5	101
138.6	101.6
138.7	101
138.8	99.2
139	98
139	98
139	97.5
139.1	98.6
139.2	98.6
139.4	98.6
139.4	98.6
139.7	100.4
139.7	100.4
139.7	101
139.7	101.6
139.9	101.6
140	98
140.2	96.3
140.2	95.7
140.3	95.1
140.4	98.6
140.6	100.4
140.6	101.6
140.6	101.6
140.7	101
141	99.2
141.1	98.6
141.3	98.6
141.4	100.4
141.4	101
141.5	101
141.6	99.8
141.9	95.1
142	95.1
142	98
142.2	98.6
142.2	99.2
142.3	99.2
142.4	100.4
142.4	102.2
142.6	104
142.7	105.2
142.7	105.8
142.8	107
142.9	107.6
143	108.8
143.1	108.8
143.1	105.8
143.2	104
143.3	102.2
143.5	101
143.5	99.2
143.6	97.5
143.8	98
143.9	99.8
143.9	100.4
144	101
144	99.8
144.1	98.6
144.2	98
144.2	96.9
144.4	95.7
144.6	95.1
144.6	94.5
144.6	93.3
144.6	92.1
144.8	89.1
144.9	92.1
144.9	92.1
145	94.5
145	95.1
145.1	95.7
145.2	95.7
145.2	93.3
145.2	92.1
145.3	92.1
145.4	93.3
145.4	93.9
145.5	95.1
145.5	97.5
145.7	97.5
145.7	97.5
145.7	97.5
145.7	97.5
145.8	95.7
145.8	95.1
145.8	93.9
145.9	92.7
146	95.1
146	95.1
146	95.1
146.3	93.9
146.4	94.5
146.5	96.9
146.5	98
146.6	98
146.6	98.6
146.7	98.6
146.7	98.6
146.8	98
147	96.9
147.2	95.7
147.2	95.7
147.3	95.7
147.3	96.3
147.3	96.9
147.4	97.5
147.4	97.5
147.4	96.3
147.6	96.3
147.6	98.6
147.6	99.2
147.7	100.4
147.8	101.6
147.8	102.2
147.8	103.4
147.9	104
147.9	104.6
148	104.6
148	105.2
148	105.8
148	103.4
148.1	102.8
148.1	101
148.1	101
148.2	99.8
148.3	98
148.4	97.5
148.4	96.9
148.4	96.3
148.5	95.7
148.5	95.1
148.6	93.9
148.7	92.7
148.8	91.5
148.8	89.7
148.9	88.5
148.9	87.9
148.9	87.9
149	87.3
149.2	89.7
149.4	90.9
149.5	90.9
149.6	90.9
149.6	90.9
149.7	92.7
150	93.3
150.1	94.5
150.1	96.9
150.3	98.6
150.5	98.6
150.5	98.6
150.6	96.3
150.7	94.5
150.8	93.3
150.8	91.5
150.9	90.3
151	90.3
151.1	91.5
151.1	93.9
151.2	95.7
151.3	96.3
151.4	98.6
151.4	101.6
151.4	101.6
151.4	103.4
151.5	106.4
151.6	108.2
151.6	110.6
151.6	112.9
151.7	113.5
151.8	115.3
151.9	117.1
151.9	117.7
151.9	120.1
152	120.7
152.1	120.7
152.1	120.1
152.1	116.5
152.2	113.5
152.2	110.6
152.2	109.4
152.3	107
152.4	104.6
152.4	102.8
152.4	100.4
152.4	98.6
152.5	95.7
152.5	95.7
152.5	93.3
152.5	92.7
152.6	90.9
152.6	89.1
152.7	87.9
152.8	87.3
152.9	86.7
153	85.5
153.1	86.1
153.3	88.5
153.3	88.5
153.3	88.5
153.4	88.5
153.5	86.7
153.5	86.1
153.5	85.5
153.6	84.3
153.7	83.2
153.8	83.2
153.8	82.6
154	83.8
154.2	86.7
154.2	89.1
154.2	89.7
154.2	89.7
154.2	89.7
154.3	91.5
154.3	92.1
154.4	92.1
154.4	92.1
154.4	90.9
154.5	90.9
154.5	89.1
154.7	88.5
154.9	87.9
155	87.9
155.1	87.3
155.2	87.3
155.4	89.1
155.4	91.5
155.5	91.5
155.6	92.7
155.7	93.3
155.8	93.3
155.9	92.7
156.2	91.5
156.2	90.9
156.5	92.7
156.6	93.9
156.8	93.3
156.8	92.1
157	91.5
157	91.5
157.1	92.1
157.2	93.9
157.3	96.9
157.3	96.9
157.4	99.2
157.5	101
157.6	99.2
157.7	98
157.8	101
157.8	102.8
157.9	102.2
157.9	99.8
158	99.8
158	99.8
158.1	102.2
158.3	105.8
158.4	106.4
158.4	108.8
158.5	110.6
158.5	110.6
158.6	108.2
158.7	105.2
158.7	102.8
158.9	100.4
158.9	99.8
158.9	99.8
159.1	102.2
159.3	103.4
159.3	104
159.3	104.6
159.4	104.6
159.5	104.6
159.7	104.6
159.7	103.4
159.7	102.8
159.8	101.6
160	100.4
160.1	99.2
160.2	98.6
160.4	98.6
160.5	98
160.6	97.5
160.9	98
161	101.6
161.1	102.2
161.2	103.4
161.3	106.4
161.3	108.2
161.3	109.4
161.4	110.6
161.4	111.1
161.6	110.6
161.7	110
161.8	107.6
161.8	107.6
162	105.8
162	105.8
162.1	104.6
162.2	102.8
162.4	102.8
162.6	103.4
162.6	103.4
162.9	105.8
163	107.6
163.1	110
163.1	110
163.2	110
163.3	107.6
163.4	107
163.4	107
163.6	107
163.6	107.6
163.7	107.6
163.7	107.6
164	104
164	104
164.1	104
164.3	104.6
164.6	107.6
164.7	108.2
164.9	108.2
165	108.8
165.3	108.8
165.3	108.2
165.4	107.6
165.5	106.4
165.6	104.6
165.6	104
165.7	102.2
165.8	102.2
165.8	102.2
166	102.8
166	101.6
166	99.2
166.1	97.5
166.2	96.9
166.3	98
166.4	98.6
166.5	101
166.6	104.6
166.7	105.2
166.7	102.8
166.9	105.2
167	105.2
167.1	103.4
167.1	100.4
167.1	99.8
167.1	99.2
167.2	101
167.3	104
167.6	106.4
167.6	107.6
167.7	109.4
167.7	110.6
167.8	110
168	107
168	105.8
168	105.8
168.1	104.6
168.2	101.6
168.3	99.2
168.4	98
168.5	98
168.7	98
168.9	99.2
168.9	101
168.9	101
168.9	102.2
169	99.8
169	101
169.1	101
169.2	101
169.3	101
169.3	102.8
169.6	107
169.6	107.6
169.8	107
169.9	106.4
170.2	104.6
170.3	104.6
170.4	105.8
170.4	106.4
170.6	110
170.6	111.7
170.7	112.9
170.7	115.3
170.8	115.9
171	117.1
171	117.7
171.1	115.3
171.2	112.3
171.3	110.6
171.3	108.8
171.3	107.6
171.4	104.6
171.6	101.6
171.6	102.8
171.6	102.8
171.7	105.2
171.8	107.6
171.8	107.6
171.9	104
172	100.4
172	99.8
172.1	98.6
172.2	101
172.4	103.4
172.4	105.2
172.5	105.2
172.6	104.6
172.6	103.4
172.8	103.4
172.8	104
172.9	105.2
173.1	105.2
173.2	105.8
173.3	105.8
173.4	105.8
173.5	105.2
173.6	104.6
173.7	103.4
173.8	101.6
173.8	101
173.8	100.4
174	98.6
174	96.9
174.1	95.1
174.2	95.1
174.3	94.5
174.3	97.5
174.3	98
