"Row","Depth","RES","RES Color","Top Names","Top Depth","Top Color"
"361","89.4","15.4","","","",""
"362","89.7","15.4","","","",""
"363","89.8","15.4","","","",""
"364","89.8","14","","","",""
"365","89.8","13.6","","","",""
"366","90.1","13.6","","","",""
"367","90.3","14","","","",""
"368","90.3","13.1","","","",""
"369","90.5","12","","","",""
"370","90.7","11.5","","","",""
"371","91","11.5","","","",""
"372","91.2","12.3","","","",""
"373","91.2","13.1","","","",""
"374","91.2","13.5","","","",""
"375","91.2","14","","","",""
"376","91.4","15.4","","","",""
"377","91.4","16.4","","","",""
"378","91.6","18.1","","","",""
"379","91.9","19.3","","","",""
"380","92","21.2","","","",""
"381","91.9","21.2","","","",""
"382","91.7","19.3","","","",""
"383","91.9","17.6","","","",""
"384","91.9","17.6","","","",""
"385","91.9","17","","","",""
"386","92","16.5","","","",""
"387","92","15.5","","","",""
"388","92.3","14.5","","","",""
"389","92.3","14","","","",""
"390","92.5","13.1","","","",""
"391","92.5","12.3","","","",""
"392","92.7","11.5","","","",""
"393","92.7","11.5","","","",""
"394","93.2","12.7","","","",""
"395","93.2","13.1","","","",""
"396","93.8","13.5","","","",""
"397","94.2","13.5","","","",""
"398","94.2","14","","","",""
"399","94.2","13.1","","","",""
"400","94.7","13.5","","","",""
"401","94.7","14.4","","","",""
"402","94.7","14.9","","","",""
"403","94.9","14.9","","","",""
"404","94.9","14.5","","","",""
"405","95.1","13.6","","","",""
"406","95.1","13.6","","","",""
"407","95.4","12.8","","","",""
"408","95.5","12.3","","","",""
"409","95.8","12","","","",""
"410","95.8","13.1","","","",""
"411","95.8","14","","","",""
"412","96","14.4","","","",""
"413","96.2","15.4","","","",""
"414","96.4","15.4","","","",""
"415","96.7","15.4","","","",""
"416","96.7","14.9","","","",""
"417","96.9","14.5","","","",""
"418","97.1","15.9","","","",""
"419","97.3","16.4","","","",""
"420","97.3","15.9","","","",""
"421","97.3","15.9","","","",""
"422","97.3","15.5","","","",""
"423","97.6","15.5","","","",""
"424","97.6","14.5","","","",""
"425","97.7","14","","","",""
"426","97.7","13.6","","","",""
"427","97.7","13.6","","","",""
"428","98","13.6","","","",""
"429","98.4","14","","","",""
"430","98.4","14.9","","","",""
"431","98.4","14.9","","","",""
"432","98.6","14.9","","","",""
"433","98.6","14","","","",""
"434","98.6","13.6","","","",""
"435","99.1","12.8","","","",""
"436","99.3","12.3","","","",""
"437","99.5","12.3","","","",""
"438","99.5","13.5","","","",""
"439","99.5","14","","","",""
"440","99.7","14","","","",""
"441","99.7","14","","","",""
"442","99.7","14.4","","","",""
"443","99.9","14.4","","","",""
"444","99.9","14","","","",""
"445","100.2","13.1","","","",""
"446","100.2","12.3","","","",""
"447","100.2","12","","","",""
"448","100.4","12","","","",""
"449","100.4","12","","","",""
"450","100.6","11.5","","","",""
"451","100.6","11.5","","","",""
"452","100.6","12","","","",""
"453","101","11.5","","","",""
"454","101","10.8","","","",""
"455","101","10.1","","","",""
"456","101.2","10.1","","","",""
"457","101.2","10.4","","","",""
"458","101.2","11.5","","","",""
"459","101.7","13.1","","","",""
"460","101.7","13.5","","","",""
"461","102.1","13.1","","","",""
"462","102.1","12","","","",""
"463","102.3","12","","","",""
"464","102.3","11.5","","","",""
"465","102.6","11.9","","","",""
"466","102.6","12.7","","","",""
"467","102.6","13.5","","","",""
"468","102.8","14.4","","","",""
"469","103","14.4","","","",""
"470","103.2","14.4","","","",""
"471","103.2","13.1","","","",""
"472","103.2","12.8","","","",""
"473","103.2","12","","","",""
"474","103.2","11.5","","","",""
"475","103.2","11.5","","","",""
"476","103.4","11.5","","","",""
"477","103.4","12.3","","","",""
"478","104.1","11.5","","","",""
"479","104.1","11.2","","","",""
"480","104.1","10.1","","","",""
"481","104.5","9.9","","","",""
"482","104.5","10.1","","","",""
"483","104.5","10.8","","","",""
"484","104.8","11.5","","","",""
"485","104.9","12.7","","","",""
"486","105.2","11.2","","","",""
"487","105.2","11.2","","","",""
"488","105.4","10.8","","","",""
"489","105.6","11.5","","","",""
"490","105.6","11.9","","","",""
"491","105.8","12.7","","","",""
"492","106.1","13.5","","","",""
"493","106.3","13.5","","","",""
"494","106.3","13.1","","","",""
"495","106.3","12.8","","","",""
"496","106.5","11.2","","","",""
"497","106.7","10.5","","","",""
"498","106.7","9.5","","","",""
"499","106.7","8.7","","","",""
"500","107.1","9.5","","","",""
"501","107.4","10.4","","","",""
"502","107.4","11.9","","","",""
