"Row","Depth","RES","RES Color","Top Names","Top Depth","Top Color"
"679","146.2","12.6","","","",""
"680","146.3","12.6","","","",""
"681","146.3","12.3","","","",""
"682","146.3","12.3","","","",""
"683","146.5","12.3","","","",""
"684","146.5","12.3","","","",""
"685","146.7","12.6","","","",""
"686","146.9","13.2","","","",""
"687","147","13.6","","","",""
"688","147","13.6","","","",""
"689","147.2","12.7","","","",""
"690","147.2","11.5","","","",""
"691","147.2","10.9","","","",""
"692","147.4","10.6","","","",""
"693","147.6","10.4","","","",""
"694","147.7","10.8","","","",""
"695","147.7","11.1","","","",""
"696","147.9","11.7","","","",""
"697","148","12","","","",""
"698","148.2","12.6","","","",""
"699","148.4","12.6","","","",""
"700","148.4","12.3","","","",""
"701","148.6","12","","","",""
"702","148.7","11.5","","","",""
"703","148.7","10.9","","","",""
"704","149.1","10.6","","","",""
"705","149.3","10.6","","","",""
"706","149.6","10.4","","","",""
"707","150","10.4","","","",""
"708","150","10.4","","","",""
"709","150","10.4","","","",""
"710","150.1","10.4","","","",""
"711","150.3","10.6","","","",""
"712","150.4","10.6","","","",""
"713","150.4","10.6","","","",""
"714","150.6","11.1","","","",""
"715","150.6","11.1","","","",""
"716","151.1","11.2","","","",""
"717","151.1","11.8","","","",""
"718","151.1","12","","","",""
"719","151.2","12","","","",""
"720","151.4","11.8","","","",""
"721","151.4","11.5","","","",""
"722","151.5","11","","","",""
"723","151.7","11","","","",""
"724","151.9","11.2","","","",""
"725","152","11.5","","","",""
"726","152.2","12","","","",""
"727","152.2","12.7","","","",""
"728","152.6","13","","","",""
"729","152.9","12.7","","","",""
"730","152.9","13","","","",""
"731","153.1","14","","","",""
"732","153.1","14.4","","","",""
"733","153.3","13.4","","","",""
"734","153.3","12.4","","","",""
"735","153.3","12.1","","","",""
"736","153.4","11.8","","","",""
"737","153.4","11.5","","","",""
"738","153.4","11.8","","","",""
"739","153.4","12","","","",""
"740","153.7","12","","","",""
"741","153.7","11.2","","","",""
"742","153.9","10.7","","","",""
"743","154.1","9","","","",""
"744","154.1","9","","","",""
"745","154.1","9","","","",""
"746","154.1","8.1","","","",""
"747","154.1","7.8","","","",""
"748","154.1","7.9","","","",""
"749","154.1","8.1","","","",""
"750","154.1","8.3","","","",""
"751","154.1","8.5","","","",""
"752","154.1","8.7","","","",""
"753","154.1","9.2","","","",""
"754","154.3","9.7","","","",""
"755","154.3","10.2","","","",""
"756","154.3","10.4","","","",""
"757","154.4","10.9","","","",""
"758","154.4","11.2","","","",""
"759","154.4","11.5","","","",""
"760","154.4","12.4","","","",""
"761","154.6","13","","","",""
"762","154.6","13.7","","","",""
"763","154.6","13.4","","","",""
"764","154.8","11.8","","","",""
"765","154.8","11.5","","","",""
"766","155","11","","","",""
"767","155","10.7","","","",""
"768","155.1","10.7","","","",""
"769","155.1","11.5","","","",""
"770","155.1","11.5","","","",""
"771","155.3","11.5","","","",""
"772","155.5","11.5","","","",""
"773","155.7","12","","","",""
"774","156","12","","","",""
"775","156","11.8","","","",""
"776","156","11.8","","","",""
"777","156.1","12","","","",""
"778","156.1","12.4","","","",""
"779","156.1","12.4","","","",""
"780","156.3","12.1","","","",""
"781","156.5","11.5","","","",""
"782","156.5","11","","","",""
"783","156.7","10.4","","","",""
"784","156.7","10.2","","","",""
"785","156.8","9.9","","","",""
"786","157","10.9","","","",""
"787","157.2","11.2","","","",""
"788","157.4","11.2","","","",""
"789","157.4","11.5","","","",""
"790","157.4","11.8","","","",""
"791","157.5","12.4","","","",""
"792","157.9","12.4","","","",""
"793","158","12.4","","","",""
"794","158.2","12.4","","","",""
"795","158.2","12.4","","","",""
"796","158.2","12.4","","","",""
"797","158.4","12.7","","","",""
"798","158.4","13","","","",""
"799","158.5","13.3","","","",""
"800","158.5","13.7","","","",""
"801","158.7","13.4","","","",""
"802","158.9","12.4","","","",""
"803","159.1","11.5","","","",""
"804","159.1","11.2","","","",""
"805","159.1","10.7","","","",""
"806","159.1","10.4","","","",""
"807","159.2","9.9","","","",""
"808","159.4","9.9","","","",""
"809","159.6","9.7","","","",""
"810","159.6","10.4","","","",""
"811","159.6","10.9","","","",""
"812","159.6","11.5","","","",""
"813","159.6","11.5","","","",""
"814","160.1","12","","","",""
"815","160.1","12","","","",""
"816","160.1","12.4","","","",""
"817","160.2","12.7","","","",""
"818","160.4","12.7","","","",""
"819","160.4","13.3","","","",""
"820","160.4","13.3","","","",""
"821","160.6","13.3","","","",""
"822","160.8","12.7","","","",""
"823","160.8","11.8","","","",""
"824","160.8","11.5","","","",""
"825","160.8","11.2","","","",""
"826","160.9","11","","","",""
"827","160.9","11.5","","","",""
"828","160.9","11.5","","","",""
"829","161.1","11.8","","","",""
"830","161.1","11.8","","","",""
"831","161.3","11.8","","","",""
"832","161.3","11.5","","","",""
"833","161.3","11.2","","","",""
"834","161.3","11.2","","","",""
"835","161.5","11.8","","","",""
"836","161.6","11.8","","","",""
"837","161.6","11.8","","","",""
"838","161.6","12","","","",""
"839","161.6","12","","","",""
"840","161.8","12","","","",""
"841","161.8","12","","","",""
"842","161.8","12","","","",""
"843","161.8","11.2","","","",""
"844","162","11","","","",""
"845","162.2","11","","","",""
"846","162.2","10.7","","","",""
"847","162.2","10.4","","","",""
"848","162.3","10.2","","","",""
"849","162.3","9.9","","","",""
"850","162.3","9.7","","","",""
"851","162.3","9.5","","","",""
"852","162.5","9.9","","","",""
"853","162.5","10.7","","","",""
"854","162.6","11.2","","","",""
"855","162.8","11.2","","","",""
"856","162.8","11.5","","","",""
"857","162.8","11.8","","","",""
"858","163.2","11.8","","","",""
"859","163.2","11.8","","","",""
"860","163.3","11.5","","","",""
"861","163.3","11.2","","","",""
"862","163.3","10.4","","","",""
"863","163.7","9.9","","","",""
"864","163.7","9.7","","","",""
"865","163.7","9.5","","","",""
"866","164","9.9","","","",""
"867","164.2","10.4","","","",""
"868","164.2","10.9","","","",""
"869","164.7","11.2","","","",""
"870","164.7","11.5","","","",""
"871","164.7","11.2","","","",""
"872","164.9","11.8","","","",""
"873","165.2","12","","","",""
"874","165.4","12.4","","","",""
"875","165.7","12.7","","","",""
"876","165.7","13","","","",""
"877","165.9","12.7","","","",""
"878","165.9","12.1","","","",""
"879","165.9","11.5","","","",""
"880","165.9","11.2","","","",""
"881","166.3","10.7","","","",""
"882","166.3","10.4","","","",""
"883","166.3","10.2","","","",""
"884","166.4","9.9","","","",""
"885","166.4","9.9","","","",""
"886","166.4","10.4","","","",""
"887","166.7","10.7","","","",""
"888","166.7","10.7","","","",""
"889","166.7","10.7","","","",""
"890","167.1","10.7","","","",""
"891","167.4","10.7","","","",""
"892","167.6","10.7","","","",""
"893","167.6","10.4","","","",""
"894","167.6","10.2","","","",""
"895","167.6","10.2","","","",""
"896","167.6","10.2","","","",""
