X,Y,MD,Surface,Well
1646331,6319877,73.89,Lau,Kvarne-2
1646331,6319877,344.87,Ireviken peak 7,Kvarne-2
1646331,6319877,350.08,Ireviken peak 6,Kvarne-2
1646331,6319877,354.2,Ireviken peak 5,Kvarne-2
1646331,6319877,361.79,Ireviken peak 4,Kvarne-2
1646331,6319877,366.24,Ireviken peak 3,Kvarne-2
1646331,6319877,369.17,Ireviken peak 2,Kvarne-2
1646331,6319877,372.97,Ireviken peak 1,Kvarne-2
1646331,6319877,415.37,base telychian,Kvarne-2
1646331,6319877,421.18,base silurian,Kvarne-2
1646331,6319877,377.23,base Ireviken,Kvarne-2
1646331,6319877,-1.05,0m,Kvarne-2
1652237,6317891,306.5,2ndmulde,Linhatte-1
1652237,6317891,328.23,Mulde,Linhatte-1
1652237,6317891,458.42,mid telychian unconformity?,Linhatte-1
1652237,6317891,259,linde?,Linhatte-1
1652237,6317891,131.8,Lau,Linhatte-1
1652237,6317891,396.27,Ireviken peak 7,Linhatte-1
1652237,6317891,400.21,Ireviken peak 6,Linhatte-1
1652237,6317891,405.28,Ireviken peak 5,Linhatte-1
1652237,6317891,413.09,Ireviken peak 4,Linhatte-1
1652237,6317891,416.88,Ireviken peak 3,Linhatte-1
1652237,6317891,422.31,Ireviken peak 2,Linhatte-1
1652237,6317891,425.84,Ireviken peak 1,Linhatte-1
1652237,6317891,473.13,base telychian,Linhatte-1
1652237,6317891,482.8,base silurian,Linhatte-1
1652237,6317891,428.48,base Ireviken,Linhatte-1
1652237,6317891,0,0m,Linhatte-1
1669769,6350160,200,2ndmulde,Mattise-1
1669769,6350160,230.61,Mulde,Mattise-1
1669769,6350160,339.92,mid telychian unconformity?,Mattise-1
1669769,6350160,112.79,linde?,Mattise-1
1669769,6350160,285.54,Ireviken peak 7,Mattise-1
1669769,6350160,294.16,Ireviken peak 6,Mattise-1
1669769,6350160,300.35,Ireviken peak 5,Mattise-1
1669769,6350160,305.41,Ireviken peak 4,Mattise-1
1669769,6350160,308.6,Ireviken peak 3,Mattise-1
1669769,6350160,311.78,Ireviken peak 2,Mattise-1
1669769,6350160,315.72,Ireviken peak 1,Mattise-1
1669769,6350160,341.03,base telychian,Mattise-1
1669769,6350160,347.57,base silurian,Mattise-1
1669769,6350160,320.33,base Ireviken,Mattise-1
1669769,6350160,0,0m,Mattise-1
1675330,6352841,222,2ndmulde,Nyudden-1
1675330,6352841,254.8,Mulde,Nyudden-1
1675330,6352841,372.8,mid telychian unconformity?,Nyudden-1
1675330,6352841,130.9,linde?,Nyudden-1
1675330,6352841,32.12,Lau,Nyudden-1
1675330,6352841,318.05,Ireviken peak 7,Nyudden-1
1675330,6352841,322.63,Ireviken peak 6,Nyudden-1
1675330,6352841,326.64,Ireviken peak 5,Nyudden-1
1675330,6352841,330.87,Ireviken peak 4,Nyudden-1
1675330,6352841,336.08,Ireviken peak 3,Nyudden-1
